method,rhatmax@2000,rhatmax@5000,rhatmax@10000,rhatmax@15000,rhatmax@20000,rhatmed@2000,rhatmed@5000,rhatmed@10000,rhatmed@15000,rhatmed@20000,conv_iter
AWSGLD,1.527,1.333,1.307,1.296,1.237,1.069,1.044,1.035,1.032,1.023,none
qSGLD,2.212,1.677,1.669,1.675,1.632,1.189,1.103,1.076,1.063,1.068,none
cycSGLD,7.605,2.723,1.518,1.29,1.194,3.038,2.056,1.278,1.136,1.075,20000
SGHMC,2.963,2.881,2.139,1.671,1.757,1.47,1.292,1.205,1.142,1.123,none
