seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
4,A0,acMH,1.2781,1.5383,1.564,41.16,2.2157,1.9379,1.9118,0.896,0.8664,0.8674,82.97,0.2968,0.1826,0.575,0.7859,4.7409,13000
4,A0,SGLD,3.6969,5.5559,6.1629,8.32,0.6247,0.9125,0.8299,0.6464,0.7028,0.6886,117.11,-0.0768,-0.0457,0.375,0.5471,2.5622,13000
4,A0,qSGLD,1.1423,1.3512,1.4658,15.18,3.1812,2.4102,2.7927,0.9534,0.9044,0.9373,115.92,0.1386,0.0913,0.475,0.7068,8.5037,13000
4,A0,cycSGLD,1.7813,2.3587,2.5115,16.08,1.5392,1.2112,1.3724,0.8183,0.7627,0.795,73.0,0.1578,0.1006,0.425,0.7233,3.1558,13000
4,A0,SGHMC,1.8257,2.4978,3.102,9.55,1.1259,1.1892,1.1734,0.7487,0.7575,0.7563,107.66,0.0563,0.0352,0.4,0.5832,2.9142,13000
4,A0,AWSGLD,1.0371,1.1018,1.1482,106.77,1.7935,1.3303,1.5023,0.8516,0.7821,0.8151,73.0,0.2592,0.16,0.525,0.7675,3.4382,13000
