seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
1,A0,acMH,1.13,1.7217,1.8086,35.15,1.9397,1.8394,0.7682,0.8615,0.855,0.6818,76.4,0.7169,0.4962,0.95,0.8897,1.8852,10000
1,A0,SGLD,3.8596,6.3168,7.7843,6.9,0.8072,1.0492,0.6963,0.6802,0.7273,0.6594,99.36,0.1897,0.1224,0.55,0.6959,2.2635,10000
1,A0,qSGLD,1.1544,1.308,1.4244,12.06,3.1322,3.3277,0.3812,0.9339,0.9527,0.5887,103.38,0.7446,0.5119,0.975,0.8792,2.6103,10000
1,A0,cycSGLD,2.0872,2.7038,3.1088,13.21,1.5413,1.8839,0.3193,0.8097,0.8595,0.5778,67.0,0.7001,0.4671,0.95,0.8574,1.3155,10000
1,A0,SGHMC,2.1394,3.3086,4.1068,7.97,1.4518,1.5794,0.7513,0.7887,0.8119,0.6715,104.58,0.5074,0.3455,0.7,0.789,2.1136,10000
1,A0,AWSGLD,1.0375,1.0747,1.112,93.6,1.8451,2.1777,0.0373,0.8466,0.8884,0.5088,67.0,0.7223,0.4804,0.975,0.8671,1.043,10000
