method,rhatmax@2000,rhatmax@5000,rhatmax@10000,rhatmax@15000,rhatmax@20000,rhatmed@2000,rhatmed@5000,rhatmed@10000,rhatmed@15000,rhatmed@20000,conv_iter
AWSGLD,1.33,1.15,1.117,1.119,1.092,1.044,1.024,1.019,1.018,1.016,5000
qSGLD,1.871,1.471,1.428,1.482,1.383,1.147,1.077,1.054,1.052,1.054,none
cycSGLD,7.73,2.601,1.725,1.315,1.182,2.882,1.906,1.257,1.14,1.08,20000
SGHMC,3.161,2.294,1.7,1.607,1.572,1.445,1.258,1.219,1.181,1.14,none
