seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
9,A0,acMH,1.427,1.8798,2.5167,29.27,3.0233,4.6004,2.3702,0.9331,0.9807,0.9057,113.42,0.483,0.3099,0.8,0.773,9.323,11000
9,A0,SGLD,3.6125,5.9353,6.8499,7.3,0.6648,0.7044,0.6966,0.6545,0.6598,0.6588,119.83,0.0119,0.0109,0.35,0.579,2.2315,11000
9,A0,qSGLD,1.1688,1.2925,1.4523,13.02,2.8919,4.1032,1.749,0.9255,0.9718,0.8405,118.83,0.5568,0.36,0.875,0.8091,6.4811,11000
9,A0,cycSGLD,1.8444,2.4096,2.7841,13.31,1.1765,2.2624,0.923,0.7564,0.8916,0.7122,73.0,0.4268,0.257,0.75,0.786,2.6026,11000
9,A0,SGHMC,1.9718,2.7268,3.4154,8.45,0.7331,1.1958,0.8284,0.6656,0.7578,0.6892,112.17,0.1047,0.0707,0.475,0.6622,2.3932,11000
9,A0,AWSGLD,1.037,1.0707,1.1547,85.4,1.5356,2.8658,0.9617,0.8127,0.931,0.7193,73.0,0.5424,0.3265,0.85,0.8165,2.9759,11000
