seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
6,A0,acMH,1.26,1.7168,1.854,27.98,2.0613,2.2984,1.5624,0.8781,0.899,0.8233,104.2,0.4472,0.2901,0.75,0.7947,4.0475,8000
6,A0,SGLD,4.0595,6.3266,8.0633,6.22,0.9062,0.7362,0.5446,0.6972,0.67,0.6277,119.74,0.2282,0.1442,0.5,0.7311,1.871,8000
6,A0,qSGLD,1.2393,1.5154,1.7072,10.84,3.1878,3.4798,2.4443,0.9477,0.9614,0.9121,125.36,0.3523,0.2372,0.675,0.757,8.3246,8000
6,A0,cycSGLD,2.2286,2.7904,3.7296,13.9,1.5036,1.912,0.9006,0.8122,0.8643,0.7086,74.0,0.5605,0.3325,0.875,0.837,2.3305,8000
6,A0,SGHMC,1.9478,2.9358,3.5422,7.01,1.4253,1.1586,0.5365,0.7955,0.7509,0.626,114.35,0.5522,0.3665,0.725,0.8421,1.5836,8000
6,A0,AWSGLD,1.0402,1.0897,1.1568,76.81,1.7522,2.2249,0.9899,0.845,0.8946,0.7264,74.0,0.5919,0.3479,0.9,0.8505,2.599,8000
