node,rhat,group,theta_star,Y,conflict,degree,wmean_Ninit,wmean_Winit,wmean_Sinit
177,1.007,N,-0.898,0,0,57,0.565,0.503,0.42
165,1.007,N,-0.754,0,0,51,0.541,0.545,0.428
143,1.006,W,1.196,0,0,21,1.623,1.523,1.415
104,1.006,N,-0.591,0,0,46,0.216,0.25,0.122
77,1.006,S,2.46,1,0,10,1.178,1.309,1.297
164,1.006,W,1.268,1,0,13,1.416,1.44,1.303
74,1.006,N,-0.93,1,1,32,0.682,0.763,0.647
58,1.006,W,0.877,0,0,18,1.349,1.496,1.343
150,1.005,N,-0.487,1,0,43,0.893,0.791,0.862
14,1.005,N,-0.328,0,0,47,0.186,0.299,0.225
161,1.005,S,2.38,0,1,19,2.146,2.057,1.964
11,1.004,N,-0.877,0,0,48,0.319,0.395,0.428
186,1.004,N,-0.717,0,0,50,0.338,0.369,0.444
195,1.004,S,2.129,0,1,14,1.15,1.106,1.203
158,1.004,N,-0.786,0,0,54,0.455,0.519,0.429
72,1.003,N,-0.969,0,0,49,0.426,0.402,0.33
85,1.003,N,-1.107,0,0,44,0.339,0.434,0.401
63,1.003,W,1.151,1,0,10,0.959,1.065,1.009
170,1.003,S,2.59,1,0,15,1.805,1.815,1.895
107,1.003,W,1.042,0,0,21,1.509,1.547,1.417
117,1.003,N,-0.848,1,0,41,0.828,0.898,0.889
124,1.002,W,0.746,1,0,18,1.534,1.507,1.596
156,1.002,W,0.962,1,0,16,1.436,1.44,1.506
147,1.002,N,-0.722,0,0,58,0.58,0.562,0.502
178,1.002,N,-0.782,0,0,59,0.294,0.362,0.355
173,1.002,W,1.078,0,0,18,1.266,1.351,1.274
199,1.001,N,-0.638,1,1,42,0.662,0.717,0.716
162,1.001,W,1.32,1,0,16,1.607,1.619,1.541
191,1.001,W,1.061,0,0,19,1.388,1.457,1.457
35,1.001,W,1.135,0,0,17,1.123,1.161,1.072
71,1.001,N,-1.324,1,1,44,0.811,0.783,0.752
51,1.001,N,-0.959,0,0,59,0.567,0.612,0.62
174,1.0,S,2.749,0,0,21,2.007,2.024,2.06
30,1.0,W,0.947,0,0,14,1.082,1.092,1.049
53,1.0,N,-0.61,0,0,43,0.329,0.309,0.31
