gamma,sampler,precision,precision_sd,recall,recall_sd,F,F_sd,realFDR,realFDR_sd,n_selected
0.05,acMH,0.976,0.018,0.210,0.005,0.345,0.008,0.024,0.018,33.5
0.05,AWSGLD,0.991,0.027,0.210,0.006,0.346,0.010,0.009,0.027,33.0
0.1,acMH,0.947,0.026,0.230,0.006,0.370,0.009,0.053,0.026,37.9
0.1,AWSGLD,0.984,0.034,0.230,0.005,0.373,0.009,0.016,0.034,36.5
0.15,acMH,0.920,0.014,0.256,0.006,0.401,0.006,0.080,0.014,43.5
0.15,AWSGLD,0.971,0.047,0.253,0.009,0.401,0.015,0.029,0.047,40.6
0.2,acMH,0.917,0.015,0.288,0.007,0.438,0.007,0.083,0.015,49.0
0.2,AWSGLD,0.941,0.060,0.276,0.010,0.426,0.019,0.059,0.060,45.8
0.3,acMH,0.869,0.022,0.341,0.013,0.490,0.017,0.131,0.022,61.2
0.3,AWSGLD,0.878,0.084,0.334,0.018,0.484,0.032,0.122,0.084,59.7
