gamma,sampler,precision,precision_sd,recall,recall_sd,F,F_sd,realFDR,realFDR_sd,n_selected
0.05,acMH,0.9923,0.0231,0.2429,0.011,0.39,0.0142,0.0077,0.0231,12.0
0.05,AWSGLD,1.0,0.0,0.2041,0.0,0.339,0.0,0.0,0.0,10.0
0.05,SGLD,1.0,0.0,0.2061,0.0061,0.3418,0.0083,0.0,0.0,10.1
0.05,qSGLD,0.9618,0.0469,0.2082,0.0178,0.3421,0.026,0.0382,0.0469,10.6
0.05,cycSGLD,1.0,0.0,0.2041,0.0,0.339,0.0,0.0,0.0,10.0
0.05,SGHMC,1.0,0.0,0.2082,0.0082,0.3445,0.0111,0.0,0.0,10.2
0.1,acMH,0.9529,0.0822,0.3082,0.0249,0.4653,0.0363,0.0471,0.0822,15.9
0.1,AWSGLD,0.975,0.0382,0.2245,0.0,0.3649,0.0028,0.025,0.0382,11.3
0.1,SGLD,0.9763,0.0363,0.2449,0.0129,0.3914,0.0178,0.0237,0.0363,12.3
0.1,qSGLD,0.8997,0.0522,0.2469,0.037,0.3868,0.0492,0.1003,0.0522,13.4
0.1,cycSGLD,1.0,0.0,0.2265,0.0061,0.3693,0.008,0.0,0.0,11.1
0.1,SGHMC,0.9852,0.0297,0.2531,0.01,0.4025,0.0127,0.0148,0.0297,12.6
0.15,acMH,0.8176,0.0561,0.3449,0.011,0.4842,0.0053,0.1824,0.0561,20.8
0.15,AWSGLD,0.9662,0.0541,0.2653,0.0,0.4161,0.0053,0.0338,0.0541,13.5
0.15,SGLD,0.9169,0.0628,0.2816,0.0178,0.4305,0.024,0.0831,0.0628,15.1
0.15,qSGLD,0.842,0.0533,0.2816,0.0406,0.4207,0.0484,0.158,0.0533,16.4
0.15,cycSGLD,0.9852,0.0297,0.2633,0.0061,0.4155,0.0097,0.0148,0.0297,13.1
0.15,SGHMC,0.9372,0.0479,0.2959,0.0165,0.4495,0.0212,0.0628,0.0479,15.5
0.2,acMH,0.694,0.0466,0.3694,0.011,0.4815,0.0116,0.306,0.0466,26.2
0.2,AWSGLD,0.9158,0.0928,0.3,0.0094,0.4513,0.02,0.0842,0.0928,16.2
0.2,SGLD,0.8116,0.0812,0.3163,0.0292,0.4543,0.0374,0.1884,0.0812,19.2
0.2,qSGLD,0.7699,0.0441,0.3204,0.033,0.4508,0.0315,0.2301,0.0441,20.5
0.2,cycSGLD,0.9367,0.0017,0.302,0.0082,0.4567,0.0096,0.0633,0.0017,15.8
0.2,SGHMC,0.8385,0.0687,0.3265,0.0258,0.4689,0.0294,0.1615,0.0687,19.2
0.25,acMH,0.6699,0.0152,0.3857,0.0295,0.4891,0.026,0.3301,0.0152,28.2
0.25,AWSGLD,0.8233,0.0991,0.3306,0.03,0.4702,0.038,0.1767,0.0991,19.9
0.25,SGLD,0.7403,0.0511,0.3735,0.0388,0.4942,0.0301,0.2597,0.0511,24.9
0.25,qSGLD,0.7056,0.0403,0.3571,0.04,0.4724,0.0346,0.2944,0.0403,24.9
0.25,cycSGLD,0.8351,0.0156,0.3204,0.0094,0.4631,0.0116,0.1649,0.0156,18.8
0.25,SGHMC,0.7215,0.0528,0.3612,0.0342,0.4787,0.0215,0.2785,0.0528,24.8
0.3,acMH,0.6707,0.0244,0.4122,0.0507,0.5092,0.0421,0.3293,0.0244,30.1
0.3,AWSGLD,0.7822,0.088,0.398,0.0468,0.5224,0.0288,0.2178,0.088,25.5
0.3,SGLD,0.6557,0.0414,0.4469,0.0661,0.5263,0.0365,0.3443,0.0414,33.8
0.3,qSGLD,0.6861,0.0248,0.4143,0.0398,0.5156,0.0333,0.3139,0.0248,29.6
0.3,cycSGLD,0.7556,0.0185,0.3531,0.0094,0.4812,0.0112,0.2444,0.0185,22.9
0.3,SGHMC,0.666,0.0626,0.4245,0.0597,0.5123,0.0264,0.334,0.0626,31.9
