gamma,sampler,precision,precision_sd,recall,recall_sd,F,F_sd,realFDR,realFDR_sd,n_selected
0.05,acMH,0.9607,0.0602,0.2654,0.0207,0.4154,0.0279,0.0393,0.0602,7.2
0.05,AWSGLD,1.0,0.0,0.2308,0.0,0.375,0.0,0.0,0.0,6.0
0.05,SGLD,0.8887,0.0941,0.3269,0.1078,0.4617,0.0895,0.1113,0.0941,10.0
0.05,qSGLD,0.9296,0.0587,0.3,0.0414,0.4521,0.05,0.0704,0.0587,8.4
0.05,cycSGLD,1.0,0.0,0.3308,0.0188,0.4968,0.0214,0.0,0.0,8.6
0.05,SGHMC,0.9196,0.0837,0.3154,0.089,0.4583,0.083,0.0804,0.0837,9.2
0.1,acMH,0.8659,0.0561,0.3692,0.0493,0.516,0.0521,0.1341,0.0561,11.1
0.1,AWSGLD,0.9344,0.0536,0.3269,0.0192,0.4843,0.0274,0.0656,0.0536,9.1
0.1,SGLD,0.7844,0.1415,0.4423,0.1588,0.533,0.0969,0.2156,0.1415,16.0
0.1,qSGLD,0.7698,0.0899,0.3885,0.0719,0.5125,0.0733,0.2302,0.0899,13.2
0.1,cycSGLD,0.8385,0.0063,0.4,0.0188,0.5414,0.0185,0.1615,0.0063,12.4
0.1,SGHMC,0.8007,0.1223,0.4269,0.168,0.5258,0.1131,0.1993,0.1223,14.8
0.15,acMH,0.7784,0.0573,0.4962,0.05,0.6032,0.036,0.2216,0.0573,16.7
0.15,AWSGLD,0.8247,0.033,0.4154,0.0154,0.5524,0.0202,0.1753,0.033,13.1
0.15,SGLD,0.6608,0.1693,0.5692,0.1982,0.5682,0.0892,0.3392,0.1693,25.2
0.15,qSGLD,0.6649,0.0713,0.5231,0.0792,0.5789,0.0441,0.3351,0.0713,20.8
0.15,cycSGLD,0.7867,0.0173,0.5538,0.0255,0.6499,0.0222,0.2133,0.0173,18.3
0.15,SGHMC,0.6647,0.1547,0.5308,0.1735,0.5502,0.0693,0.3353,0.1547,23.5
0.2,acMH,0.6319,0.0563,0.6154,0.062,0.6199,0.0347,0.3681,0.0563,25.6
0.2,AWSGLD,0.7574,0.015,0.5885,0.0176,0.6623,0.0159,0.2426,0.015,20.2
0.2,SGLD,0.5164,0.1173,0.6615,0.2168,0.5413,0.0699,0.4836,0.1173,37.0
0.2,qSGLD,0.5489,0.085,0.6923,0.0788,0.6039,0.0437,0.4511,0.085,33.9
0.2,cycSGLD,0.6466,0.0249,0.6962,0.0319,0.6703,0.0263,0.3534,0.0249,28.0
0.2,SGHMC,0.5624,0.1356,0.6692,0.2257,0.5653,0.069,0.4376,0.1356,35.2
0.25,acMH,0.489,0.0437,0.7808,0.0545,0.5982,0.0256,0.511,0.0437,42.1
0.25,AWSGLD,0.6019,0.0108,0.75,0.0192,0.6678,0.012,0.3981,0.0108,32.4
0.25,SGLD,0.438,0.1289,0.7731,0.1987,0.5275,0.0474,0.562,0.1289,50.9
0.25,qSGLD,0.4202,0.0502,0.8423,0.098,0.5545,0.0297,0.5798,0.0502,53.4
0.25,cycSGLD,0.531,0.0246,0.8962,0.0457,0.6666,0.0298,0.469,0.0246,43.9
0.25,SGHMC,0.4572,0.1076,0.7692,0.2107,0.5412,0.0397,0.5428,0.1076,48.4
0.3,acMH,0.3777,0.0282,0.9654,0.0363,0.542,0.0277,0.6223,0.0282,66.9
0.3,AWSGLD,0.4492,0.015,0.9808,0.0192,0.6161,0.017,0.5508,0.015,56.8
0.3,SGLD,0.3858,0.0855,0.8769,0.1385,0.5218,0.0425,0.6142,0.0855,62.3
0.3,qSGLD,0.3583,0.0324,0.9731,0.0346,0.5225,0.0305,0.6417,0.0324,71.2
0.3,cycSGLD,0.3522,0.0084,0.9962,0.0115,0.5203,0.0082,0.6478,0.0084,73.6
0.3,SGHMC,0.3907,0.0702,0.8769,0.1385,0.5287,0.0363,0.6093,0.0702,61.0
