sampler,P@20,P@20_sd,R@20,R@20_sd,F@20,F@20_sd,P@50,P@50_sd,R@50,R@50_sd,F@50,F@50_sd,P@156,P@156_sd,R@156,R@156_sd,F@156,F@156_sd,auc,auc_sd,ndcg20,ndcg20_sd
acMH,0.81,0.03,0.1038,0.0038,0.1841,0.0068,0.822,0.0404,0.2635,0.013,0.399,0.0196,0.6308,0.0249,0.6308,0.0249,0.6308,0.0249,0.6923,0.0197,0.8327,0.0347
AWSGLD,0.945,0.1011,0.1212,0.013,0.2148,0.023,0.8,0.1149,0.2564,0.0368,0.3883,0.0558,0.6436,0.0238,0.6436,0.0238,0.6436,0.0238,0.7223,0.0445,0.9445,0.1159
SGLD,0.81,0.0539,0.1038,0.0069,0.1841,0.0122,0.752,0.0483,0.241,0.0155,0.365,0.0235,0.5679,0.0309,0.5679,0.0309,0.5679,0.0309,0.6177,0.029,0.8265,0.0882
qSGLD,0.855,0.0789,0.1096,0.0101,0.1943,0.0179,0.832,0.0371,0.2667,0.0119,0.4039,0.018,0.6487,0.0154,0.6487,0.0154,0.6487,0.0154,0.7053,0.0121,0.8823,0.069
cycSGLD,0.8,0.0,0.1026,0.0,0.1818,0.0,0.854,0.0237,0.2737,0.0076,0.4146,0.0115,0.6436,0.01,0.6436,0.01,0.6436,0.01,0.691,0.0039,0.8491,0.0037
SGHMC,0.875,0.1031,0.1122,0.0132,0.1989,0.0234,0.844,0.0472,0.2705,0.0151,0.4097,0.0229,0.6353,0.0153,0.6353,0.0153,0.6353,0.0153,0.6993,0.0101,0.8944,0.0898
