#truth,53,n,100,mu,1.0,alpha,0.4,zeta,1.0
seed,method,rmed,thS,thW,thN,piS,piW,piN,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
0,tMH,1.1814102670893876,1.5429268546031192,0.23106440718362334,0.4760187992411243,0.8146432396631406,0.5529004840814601,0.6107011784349402,0.5654005400540053,0.3834343434343435,0.673469387755102,0.7599793729938872,1.3339973871897295,0.7314925970388156,1.616715889592152,0.97,0.5502855422036457,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.061224489795918366,0.11538461538461538,0.0,3,0.9583333333333334,0.46938775510204084,0.6301369863013699,0.041666666666666664,24,0.7021276595744681,0.673469387755102,0.6875000000000001,0.2978723404255319,47,0.4942528735632184,0.8775510204081632,0.6323529411764706,0.5057471264367817,87
0,SGLD,5.159837511467983,0.3445575126927368,0.022457573974070222,-0.01519369623754682,0.5769881043017573,0.5047578113774687,0.4962605619174641,0.28118811881188116,0.18747474747474752,0.6122448979591837,0.6576331953967494,1.0644228333060932,0.6266506602641055,1.1381315604880995,0.85,0.35639472643303033,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,0.7777777777777778,0.14285714285714285,0.24137931034482757,0.2222222222222222,9,0.65625,0.42857142857142855,0.5185185185185185,0.34375,32
0,qSGLD,1.8765144443163726,1.7434960146209746,-0.3741882360276083,-0.04102438580565623,0.8223568781019955,0.41811813235151696,0.4891820254152737,0.5856225622562256,0.41252525252525263,0.673469387755102,0.7552249334313618,1.2825249115932693,0.745498199279712,1.8626212976633614,0.99,0.44955486200333405,1.0,0.08163265306122448,0.15094339622641506,0.0,4,0.9090909090909091,0.40816326530612246,0.5633802816901408,0.09090909090909091,22,0.8285714285714286,0.5918367346938775,0.6904761904761905,0.17142857142857143,35,0.6808510638297872,0.6530612244897959,0.6666666666666666,0.3191489361702128,47,0.5694444444444444,0.8367346938775511,0.6776859504132232,0.4305555555555556,72
0,cycSGLD,1.0122329535733856,1.001440605123556,0.9075414071752241,1.0562027626964807,0.7281364222484363,0.7098005713500285,0.7403399926513723,-0.08894089408940893,-0.07393939393939394,0.4489795918367347,0.5153019563483761,2.1120942809153265,0.44177671068427377,0.04655267767174176,0.04,0.9666666666666667,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,0.6153846153846154,0.16326530612244897,0.25806451612903225,0.38461538461538464,13,0.49,1.0,0.6577181208053691,0.51,100
0,SGHMC,2.658967034099676,0.7446453013210038,-0.10279380488235794,-0.1040564997828477,0.6627393030377587,0.4748439660515879,0.4755844147286257,0.5037023702370237,0.3490909090909091,0.6122448979591837,0.6911558844397913,0.8029227519855573,0.7142857142857143,1.2376783686642137,0.93,0.3534863861099716,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.061224489795918366,0.11538461538461538,0.0,3,0.8666666666666667,0.2653061224489796,0.40625,0.13333333333333333,15,0.6136363636363636,0.5510204081632653,0.5806451612903225,0.38636363636363635,44
0,AWSGLD,1.627973007968044,1.8207222647513845,-0.30263539407990353,-0.07263162650300303,0.835197864646328,0.4344847815782902,0.47943462797272274,0.6216861686168617,0.4395959595959597,0.7142857142857143,0.7812721315548444,1.3117480478640409,0.7795118047218887,2.0146404113083562,0.99,0.46726697470726863,1.0,0.12244897959183673,0.2181818181818182,0.0,6,0.8636363636363636,0.3877551020408163,0.5352112676056339,0.13636363636363635,22,0.8333333333333334,0.6122448979591837,0.7058823529411765,0.16666666666666666,36,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,49,0.5833333333333334,0.8571428571428571,0.6942148760330579,0.4166666666666667,72
1,tMH,1.1957647963933362,1.8628579102826033,0.6809147491295683,-0.8304894605908265,0.8550170942119655,0.6565418944881102,0.3101583619602417,0.8184458445844583,0.5991919191919193,0.8461538461538461,0.882564746142941,0.8357801162451242,0.9074519230769231,1.8036576596832403,0.99,0.7442759755468766,1.0,0.019230769230769232,0.03773584905660378,0.0,1,0.9473684210526315,0.34615384615384615,0.5070422535211268,0.05263157894736842,19,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.09523809523809523,42,0.7796610169491526,0.8846153846153846,0.8288288288288288,0.22033898305084745,59,0.6172839506172839,0.9615384615384616,0.7518796992481203,0.38271604938271603,81
1,SGLD,4.555119322610285,0.0623789343310462,0.06623385680409577,0.025538050505033206,0.5155840646313699,0.5176605233120527,0.5055319526671103,0.0489048904890489,0.030303030303030307,0.5576923076923077,0.5565658823129558,1.1718154785303938,0.5669070512820513,0.985268687881831,0.8,0.34056964037708587,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.5,0.019230769230769232,0.037037037037037035,0.5,2,0.6111111111111112,0.21153846153846154,0.3142857142857143,0.3888888888888889,18
1,qSGLD,1.498419744102411,1.3189440193393744,0.471419084885255,-1.063051197878604,0.7739774606756117,0.6079624589857158,0.27250388571261375,0.764116411641164,0.5393939393939395,0.8653846153846154,0.889949385021826,0.6300656467619031,0.9082532051282052,1.3946151724285725,1.0,0.6253908128908129,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.057692307692307696,0.1090909090909091,0.0,3,0.9,0.34615384615384615,0.5,0.1,20,0.868421052631579,0.6346153846153846,0.7333333333333333,0.13157894736842105,38,0.7352941176470589,0.9615384615384616,0.8333333333333333,0.2647058823529412,68
1,cycSGLD,1.002069076513316,1.0487625914201073,0.9575390541182217,0.983531474871309,0.7387534038546519,0.721450334422019,0.7238236218164878,0.17459345934593457,0.12161616161616164,0.5576923076923077,0.5191058206574649,1.8003510400373204,0.5837339743589743,0.045384965347360876,0.05,0.9748427672955975,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.5833333333333334,0.1346153846153846,0.21875,0.4166666666666667,12,0.52,1.0,0.6842105263157895,0.48,100
1,SGHMC,2.4038564715656063,0.46301027176041376,0.10095684713991498,0.039220408314307134,0.6074802412253134,0.5244682900127143,0.5102924281108071,0.3137953795379538,0.2080808080808081,0.6730769230769231,0.7269767613973546,0.8556466476350638,0.7139423076923077,1.0499758895821447,0.92,0.3751351351351351,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.057692307692307696,0.1090909090909091,0.0,3,0.7857142857142857,0.4230769230769231,0.55,0.21428571428571427,28
1,AWSGLD,1.3512425372306032,1.3251265775377497,0.5827927668513443,-1.0552895804413716,0.7670256603381528,0.6299288197804651,0.2796071697534325,0.7347734773477348,0.5123232323232324,0.8269230769230769,0.860197629371574,0.8026864145639071,0.8962339743589743,1.5483742135599303,1.0,0.5923039923039923,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.15384615384615385,0.2666666666666667,0.0,8,0.8846153846153846,0.4423076923076923,0.5897435897435898,0.11538461538461539,26,0.8837209302325582,0.7307692307692307,0.8,0.11627906976744186,43,0.7142857142857143,0.9615384615384616,0.819672131147541,0.2857142857142857,70
