seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
0,SGLD,896.751625967034,308.55526013136046,7.3872395351388995,0.23360502552282383,0.005916161916161917,0.5387523629489603,0.531382347250491,1.4097608180992827,0.5070176072307242,0.2985231876373291
0,qSGLD,589.8536693500231,1.6573035143495645,0.39814537207654593,0.012590462156170887,0.8044119604119604,0.8638941398865785,0.8844151883839547,0.7281446268385862,0.9280017980486356,0.6025054454803467
0,cycSGLD,591.539784313053,3.343418477379487,1.5228424358696402,0.04815650614906961,0.7673927033927035,0.8412098298676749,0.8635839832846206,0.6059028105356992,0.9100935547180716,0.29757022857666016
0,SGHMC,608.4171074274333,20.220741591759747,3.6863643602311122,0.11657307663599743,0.45093924693924703,0.6899810964083176,0.7103373149452875,0.738928225773341,0.7427064645467352,0.3015143871307373
0,AWSGLD,589.1968574960697,1.0004916603961647,0.30665377656106996,0.009697243870253372,0.8071690591690592,0.8638941398865785,0.8847992889780137,0.7301426868488804,0.9286559987798956,0.7789227962493896
1,SGLD,891.4239746624445,302.65887227683436,7.128073768842751,0.22540948439243655,0.08084758484758486,0.5837837837837838,0.5945630507215601,1.278009379279693,0.5416135236359956,0.30329060554504395
1,qSGLD,590.4208921132694,1.6557897276592257,0.401480395745018,0.012695924864600305,0.7585283545283545,0.8432432432432433,0.8673028804007282,0.727090836866561,0.9120882680433242,0.5910584926605225
1,cycSGLD,591.919790010188,3.154687624577832,1.5696455006943548,0.04963654901229568,0.723942891942892,0.8288288288288288,0.8523436550673475,0.5907468926879169,0.8941552788743801,0.3040440082550049
1,SGHMC,605.0680080744302,16.302905688820033,3.4308451365881596,0.10849284930930068,0.5786699786699786,0.772972972972973,0.7923554846520663,0.621805108642021,0.8120457536187873,0.30661654472351074
1,AWSGLD,589.7790982238874,1.0139958382773102,0.31354166310103637,0.009915057967564474,0.7515670275670276,0.8414414414414414,0.8652090681208287,0.7303186325144027,0.9088166818503897,0.7689518928527832
2,SGLD,870.3654368934856,296.80923812815865,7.1778776348051165,0.22698442091966464,0.09833573033573034,0.5930018416206262,0.6086366062106403,1.2584615673351207,0.5651841016155486,0.30626583099365234
2,qSGLD,575.2280747195398,1.671875954212851,0.4016683653014201,0.012701868983890327,0.8155736395736396,0.8379373848987108,0.8670921525214378,0.7824369224914759,0.928930369009192,0.6103975772857666
2,cycSGLD,577.0164422082977,3.46024344297075,1.766918598924588,0.05587487212715238,0.7894459174459175,0.8360957642725598,0.8629114558837165,0.5825976956129707,0.9158012661645529,0.30547595024108887
2,SGHMC,590.4718994191455,16.91570065381859,3.62107560996183,0.11450846507162882,0.6031234831234832,0.7863720073664825,0.8129280454717687,0.6143994351821733,0.8202586328485477,0.3087611198425293
2,AWSGLD,574.5648519448528,1.0086531795258225,0.3115811267552599,0.009853060364682505,0.8150159870159871,0.8360957642725598,0.8655360328483168,0.7855913458835231,0.9294864820210276,0.7846431732177734
3,SGLD,894.8104264063765,306.0115441145199,7.337932506122239,0.23204580035933728,0.02115728115728116,0.5726950354609929,0.5740393577151789,1.3754779540740174,0.5196092784175939,0.3034799098968506
