K,n,gamma,method,precision,recall,F1,realFDR
1,76,0.05,tMH,0.8554334554334554,0.4076923076923077,0.5206318681318681,0.14456654456654458
1,76,0.05,SGLD,0.2,0.007692307692307693,0.014814814814814814,0.8
1,76,0.05,qSGLD,0.7642307692307692,0.4384615384615384,0.5433785937727105,0.23576923076923073
1,76,0.05,cycSGLD,1.0,0.11538461538461539,0.20689655172413796,0.0
1,76,0.05,SGHMC,1.0,0.038461538461538464,0.07407407407407407,0.0
1,76,0.05,AWSGLD,0.7550549450549451,0.4769230769230769,0.5625149629820102,0.24494505494505492
1,76,0.1,tMH,0.6847478556640046,0.7076923076923077,0.6697934981456831,0.3152521443359953
1,76,0.1,SGLD,0.2,0.007692307692307693,0.014814814814814814,0.8
1,76,0.1,qSGLD,0.5678204494061271,0.6153846153846153,0.5743943468860413,0.4321795505938729
1,76,0.1,cycSGLD,0.75,0.23076923076923078,0.3529411764705882,0.25
1,76,0.1,SGHMC,1.0,0.046153846153846156,0.08783068783068784,0.0
1,76,0.1,AWSGLD,0.5283056438791733,0.6230769230769231,0.5520092258428972,0.4716943561208267
1,76,0.15,tMH,0.5280765867631538,0.8461538461538461,0.6323751961955631,0.4719234132368461
1,76,0.15,SGLD,0.3,0.015384615384615385,0.029100529100529106,0.7
1,76,0.15,qSGLD,0.47017628231888897,0.7384615384615384,0.5644071408467692,0.5298237176811111
1,76,0.15,cycSGLD,0.6666666666666666,0.38461538461538464,0.48780487804878037,0.3333333333333333
1,76,0.15,SGHMC,0.8,0.09230769230769233,0.16151477832512315,0.2
1,76,0.15,AWSGLD,0.44740559440559446,0.7461538461538462,0.5479855736769206,0.5525944055944055
1,76,0.2,tMH,0.4021658143424423,0.8923076923076924,0.5463652127517673,0.5978341856575577
1,76,0.2,SGLD,0.3854761904761904,0.07692307692307693,0.12583242620538962,0.6145238095238096
1,76,0.2,qSGLD,0.40960743439616676,0.8461538461538461,0.5456494419295599,0.5903925656038332
1,76,0.2,cycSGLD,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.4444444444444445
1,76,0.2,SGHMC,0.6522727272727271,0.21538461538461537,0.31870973140322983,0.34772727272727266
1,76,0.2,AWSGLD,0.4042118764235079,0.8692307692307694,0.5463588929826562,0.5957881235764921
1,76,0.3,tMH,0.3393984962406015,0.976923076923077,0.5036764705882353,0.6606015037593985
1,76,0.3,SGLD,0.34075414781297136,0.27692307692307694,0.30352026133623705,0.6592458521870286
1,76,0.3,qSGLD,0.34368740031897926,0.9461538461538461,0.5026798104647067,0.6563125996810207
1,76,0.3,cycSGLD,0.34210526315789475,1.0,0.5098039215686275,0.6578947368421053
1,76,0.3,SGHMC,0.4528564749883123,0.4999999999999999,0.4736439484041247,0.5471435250116877
1,76,0.3,AWSGLD,0.33888220551378445,0.9384615384615385,0.49665752801966,0.6611177944862157
