seed,method,minU,gap,pidist,pirms,topk,ndcg,auc,time
0,SGLD,59.67589912529844,26.560892423765544,2.385313484541316,0.27361422178369643,0.46153846153846156,0.5364626630443947,0.5576923076923077,0.041142940521240234
0,qSGLD,34.2342791027329,1.1192724012,0.46960982758803976,0.05386794161446906,0.6923076923076923,0.7656983973172573,0.8976923076923077,0.0433506965637207
0,cycSGLD,35.519101289671745,2.4040945881388467,1.1656836371548813,0.13371308353939637,0.5384615384615384,0.654700062175423,0.6984615384615385,0.04162263870239258
0,SGHMC,39.52865349711418,6.413646795581279,1.7767340529574847,0.20380537332602944,0.4230769230769231,0.5240910619516874,0.5623076923076924,0.04194951057434082
0,AWSGLD,34.13183232109361,1.0168256195607128,0.4096530908044382,0.04699043222962203,0.7692307692307693,0.7997893366214486,0.893076923076923,0.07095956802368164
1,SGLD,59.703658080785374,27.01991807239525,2.2534509254547412,0.25848854890224804,0.46153846153846156,0.5354376943732099,0.5576923076923077,0.04097557067871094
1,qSGLD,33.84942089055971,1.165680882169589,0.47508454958937296,0.05449593529730565,0.6923076923076923,0.7511022275800467,0.8246153846153846,0.04403829574584961
1,cycSGLD,34.84174331482983,2.158003306439703,1.0170600402348173,0.11666478776044684,0.6153846153846154,0.7241488286153456,0.7230769230769232,0.04166388511657715
1,SGHMC,39.260240046695905,6.576500038305781,1.6098058317157211,0.1846573931360861,0.46153846153846156,0.5549275750136714,0.556923076923077,0.042024850845336914
1,AWSGLD,33.705113726234885,1.0213737178447602,0.49252811400486207,0.056496849363154564,0.6923076923076923,0.6753203685614231,0.8076923076923077,0.07166409492492676
2,SGLD,58.6231026641848,25.53928755711683,2.2935094625739714,0.26308357824774264,0.46153846153846156,0.5384029057557743,0.5646153846153846,0.0416102409362793
2,qSGLD,34.15953268861438,1.0757175815464066,0.4024668406070708,0.04616611279821877,0.7692307692307693,0.8265360601054793,0.8476923076923077,0.044396400451660156
2,cycSGLD,35.497013377139425,2.4131982700714545,1.1691601753734862,0.1341118698227715,0.46153846153846156,0.6063132862350631,0.6761538461538461,0.0418696403503418
2,SGHMC,39.170607819127184,6.086792712059214,1.7069255867580664,0.19579779307427053,0.4230769230769231,0.525900152946965,0.5807692307692309,0.04239916801452637
2,AWSGLD,34.08650990893458,1.0026948018666104,0.45929016653131577,0.05268419530715717,0.7307692307692307,0.7935273863422763,0.83,0.07223081588745117
3,SGLD,56.79145652545233,23.943972361446754,2.2868510106333964,0.26231980142854827,0.46153846153846156,0.5379010035937142,0.5576923076923077,0.04097723960876465
3,qSGLD,34.02437138009038,1.1768872160848005,0.4372257600961459,0.05015323430978574,0.7307692307692307,0.7815711509006972,0.8476923076923076,0.043927907943725586
3,cycSGLD,35.237609745102816,2.3901255810972373,1.2918557866635951,0.14818602167618028,0.46153846153846156,0.5960500843593305,0.6061538461538463,0.04143404960632324
3,SGHMC,38.59354758642216,5.746063422416583,1.7806039948106562,0.20424928610117032,0.4230769230769231,0.5259440339288999,0.5315384615384615,0.04183673858642578
3,AWSGLD,33.9063219108077,1.0588377468021193,0.35577062899514844,0.04080968997025667,0.6538461538461539,0.7231205678462679,0.8092307692307692,0.0713191032409668
4,SGLD,59.09652084692157,26.178228669916727,2.429379742826634,0.2786689682754244,0.46153846153846156,0.528032973923928,0.5584615384615385,0.04292106628417969
4,qSGLD,33.97011001394322,1.0518178369383762,0.4091334749756188,0.04693082820627235,0.7692307692307693,0.8125202954171022,0.8892307692307693,0.045742034912109375
4,cycSGLD,35.42386034973396,2.505568172729113,1.1574044023174492,0.13276339017133826,0.6153846153846154,0.7049351996161259,0.7192307692307692,0.04325222969055176
4,SGHMC,39.28808217694843,6.369789999943585,1.7685592321903048,0.20286765707324797,0.4230769230769231,0.5370624266562174,0.5746153846153847,0.043608903884887695
