#truth,5489,n,10000,mu,1.2,alpha,0.35,zeta,1.0
seed,method,rmed,thS,thW,thN,piS,piW,piN,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
0,tMH,5.14281699582127,1.4216566044968695,0.9828523531933921,0.6584717841734116,0.781874867015788,0.7060593883577093,0.6421448225446028,0.37263880369838803,0.2514238223822382,0.6744482947291629,0.6889587661879241,2.053603990815626,0.6894259798969674,1.2225723477375217,0.7557,0.3884605082473795,0.8409090909090909,0.033740652927229615,0.06487813431527266,0.1590909090909091,220,0.7757009345794392,0.2573408717855189,0.3864694604218022,0.22429906542056074,1819,0.7058688674919762,0.5615538938537297,0.6254951752158455,0.29413113250802386,4362,0.6367965367965368,0.8048513587452125,0.7110287601707888,0.3632034632034632,6930,0.5483,1.0,0.7082606729961893,0.4517,10000
0,SGLD,5.014133358448462,0.15181324494975146,0.012516642399438971,-0.04008458990027691,0.5345660922212799,0.5024454312825617,0.4910041488731389,0.11988471446284715,0.08001896189618961,0.5867225971183658,0.5902813529721487,1.4918880336262297,0.5591062939281684,1.093598581844784,0.7717,0.38566217578260537,0.0,0.0,0,1.0,1,0.6666666666666666,0.0021885828925770562,0.00436284311943283,0.3333333333333333,18,0.6581632653061225,0.023527266095203357,0.04543053354463814,0.34183673469387754,196,0.6425531914893617,0.08261900419478388,0.14641241111829348,0.3574468085106383,705,0.606668824862415,0.3417836950574503,0.43723751749883344,0.393331175137585,3089
0,qSGLD,1.684797870900967,1.3265108366756897,0.28597804254703435,-0.6898671708284574,0.7704967384882498,0.5631951687118514,0.34724560244278385,0.7353807583538076,0.5233748174817482,0.8198066751778224,0.8369187700799483,0.7072614112995598,0.8844650385753683,1.2919847871369003,0.9738,0.5588968432708873,1.0,0.005289075323727886,0.010522496371552977,0.0,29,0.9783393501805054,0.14827649097209558,0.257522964840038,0.021660649819494584,831,0.948051948051948,0.43935801568484406,0.6004486540378864,0.05194805194805195,2541,0.8795970953384867,0.6848440634689039,0.7700984413453651,0.12040290466151324,4269,0.7228084986632897,0.9368958599306949,0.8160444797458299,0.2771915013367103,7107
0,cycSGLD,0.9990857167246621,1.0734083172480053,0.952846267167724,0.9499981102394992,0.7452228934483061,0.7216661014021071,0.7210946301872916,0.7236769413367695,0.4896136413641364,0.8012037205909174,0.8257981483312203,1.822858638259915,0.8690632357279899,0.05430928158495246,0.056,0.9675856056201103,1.0,0.0001823819077147547,0.00036469730123997083,0.0,1,1.0,0.0001823819077147547,0.00036469730123997083,0.0,1,1.0,0.0001823819077147547,0.00036469730123997083,0.0,1,1.0,0.0001823819077147547,0.00036469730123997083,0.0,1,0.5483,1.0,0.7082606729961893,0.4517,10000
0,SGHMC,2.313687129680603,0.4939201017191341,0.06989713050968485,-0.29353947425134586,0.6093508329715546,0.5152250561664983,0.43275283515545315,0.41160482773204826,0.2778194619461946,0.6886740835309137,0.705807616969228,1.0718352280460268,0.7150087874001516,1.0789549138943046,0.8847,0.4469843631724115,1.0,0.0001823819077147547,0.00036469730123997083,0.0,1,0.9090909090909091,0.007295276308590188,0.014474398407816176,0.09090909090909091,44,0.8737373737373737,0.06310414006930512,0.11770709304303453,0.12626262626262627,396,0.8388888888888889,0.19277767645449573,0.3135103069850215,0.16111111111111112,1260,0.7349137931034483,0.5597300747765822,0.6354695103012734,0.2650862068965517,4176
0,AWSGLD,1.6513172792523212,1.3502612991056888,0.3081200909159822,-0.6922916742313177,0.7720214745298802,0.5672978227762545,0.3481645448712286,0.7221925415979255,0.5125165716571657,0.8117818712383732,0.8291623917347646,0.773807873006474,0.8772565319634085,1.27410733368774,0.9757,0.5564631496080527,0.9848484848484849,0.011854824001459055,0.023427644620652367,0.015151515151515152,66,0.9761677788369876,0.1867590734999088,0.31353337415799143,0.023832221163012392,1049,0.9335979790689282,0.4718219952580704,0.6268475890477344,0.06640202093107181,2771,0.8651079136690647,0.7018055808863761,0.7749471352331085,0.13489208633093525,4448,0.7121505673955162,0.9385372971001277,0.8098198127311353,0.2878494326044838,7226
1,tMH,5.115049365815635,1.4784963445644248,1.0031045222310297,0.6964594963723213,0.7899752933524694,0.7094531416244906,0.6500537788185505,0.37227375119073747,0.25066286628662865,0.6768526989935956,0.6913950060138018,2.16511920986526,0.6954246074296592,1.220999403661382,0.744,0.3877364664277325,0.8817204301075269,0.045013723696248856,0.08565459610027855,0.11827956989247312,279,0.7778327560613557,0.2876486733760293,0.419983970077478,0.22216724393864423,2021,0.7032564157860686,0.5967063129002744,0.6456147297564838,0.29674358421393143,4637,0.6276388888888889,0.8268984446477584,0.7136202131859454,0.3723611111111111,7200,0.5465,1.0,0.7067571936631102,0.4535,10000
1,SGLD,5.045261272052188,0.16534085061101358,0.07519396949140182,-0.06435799783517196,0.5373071701309374,0.5169447231385633,0.48517660857263467,0.1317503599415036,0.08788362836283628,0.5917657822506862,0.5974245020787664,1.4788511063612493,0.5718713957014216,1.0966568758027029,0.7813,0.3867517070697753,1.0,0.00018298261665141812,0.00036589828027808267,0.0,1,0.6170212765957447,0.005306495882891125,0.010522496371552977,0.3829787234042553,47,0.6165413533834586,0.03000914913083257,0.0572325946606177,0.38345864661654133,266,0.6330845771144279,0.09313815187557183,0.16238634550965067,0.36691542288557216,804,0.6189885200124108,0.3650503202195791,0.4592541436464088,0.3810114799875892,3223
1,qSGLD,1.70564316546324,1.41866666120266,0.40857167210615664,-0.6251906295447237,0.7849079235725588,0.5897020135718058,0.3611706180500279,0.7330284036942841,0.5204828882888288,0.8148215919487649,0.832444044550422,0.7892225866819901,0.8846698293540833,1.3075809358144896,0.9682,0.5520467445585814,1.0,0.009515096065873741,0.01885082472358166,0.0,52,0.9751609935602575,0.1939615736505032,0.3235653235653235,0.02483900643974241,1087,0.9223820675811308,0.5044830741079598,0.6522356281050391,0.07761793241886919,2989,0.8541886473939649,0.7407136322049406,0.7934143473147784,0.14581135260603503,4739,0.6992182324102292,0.9655992680695334,0.8110974485090685,0.30078176758977077,7547
1,cycSGLD,0.9990586342469999,1.0692849359645222,0.9545937964377047,0.9558126307672062,0.7444385093246902,0.722018116620876,0.7222628557950361,0.702875708132757,0.4678229822982298,0.7895699908508692,0.8157144865696139,1.8605862214940179,0.8569984596777528,0.05412169282521153,0.0547,0.9671855935727223,1.0,0.00018298261665141812,0.00036589828027808267,0.0,1,1.0,0.00018298261665141812,0.00036589828027808267,0.0,1,1.0,0.00018298261665141812,0.00036589828027808267,0.0,1,1.0,0.00018298261665141812,0.00036589828027808267,0.0,1,0.5465,1.0,0.7067571936631102,0.4535,10000
1,SGHMC,2.3522844626918236,0.512369070286942,0.11372405308055812,-0.29540823500890445,0.613283793984938,0.5250190468163766,0.432395374568509,0.4148621693606217,0.28047068706870687,0.691491308325709,0.7070929699787171,1.076180564521397,0.7195640696383017,1.0945796891822897,0.8881,0.443175505920935,1.0,0.00018298261665141812,0.00036589828027808267,0.0,1,0.8333333333333334,0.008234217749313814,0.01630730204747237,0.16666666666666666,54,0.8542141230068337,0.0686184812442818,0.12703252032520326,0.14578587699316628,439,0.8328467153284671,0.20878316559926807,0.33386978785662036,0.16715328467153284,1370,0.7259770114942529,0.5778591033851784,0.6435048395313295,0.27402298850574713,4350
1,AWSGLD,1.667392617559033,1.3977777707080228,0.3964436706163449,-0.6404753273436723,0.7800527292228453,0.5863566707062556,0.35899054759737226,0.7218373287183734,0.511390299029903,0.8124428179322964,0.8297929545798245,0.8147412633280555,0.8787356647645487,1.3066932164713212,0.9705,0.5433651117341706,1.0,0.01171088746569076,0.023150660155543498,0.0,64,0.9716312056737588,0.20054894784995425,0.33247383588654633,0.028368794326241134,1128,0.919959812458138,0.5026532479414456,0.6501005798130399,0.08004018754186203,2986,0.8525777588410737,0.7322964318389753,0.7878728221281622,0.1474222411589263,4694,0.6994520914071897,0.9577310155535225,0.8084646277417362,0.3005479085928104,7483
2,tMH,5.143820091410602,1.4273479736888808,0.8847336304263279,0.5926319001864907,0.7821903470731406,0.6864477203180932,0.6286033816658492,0.3914545837465458,0.26215833583358333,0.6786234522942461,0.6954062656617707,1.9601617942167857,0.7027212203795986,1.2345682541387306,0.7692,0.39182070479210623,0.9021739130434783,0.045338674435542604,0.0863384188626907,0.09782608695652174,276,0.801218161683278,0.2634741442097597,0.396546999177857,0.19878183831672203,1806,0.7226135535584163,0.5416970138383103,0.6192111562077219,0.27738644644158367,4117,0.6509090909090909,0.7822286962855062,0.7105524313595767,0.3490909090909091,6600,0.5492,1.0,0.7090111025045185,0.4508,10000
2,SGLD,5.056836341404214,0.14851340340009733,0.03624741697002332,-0.02717233517078453,0.5335949937605399,0.5081242089818051,0.4935206758504313,0.10569338360493384,0.07033923392339234,0.5886744355426075,0.5929713829608175,1.527203723708529,0.5601063432751421,1.1004145022315424,0.7695,0.3879504904740789,1.0,0.0001820830298616169,0.0003640997633351539,0.0,1,0.5365853658536586,0.004005826656955572,0.007952286282306162,0.4634146341463415,41,0.6425855513307985,0.030772032046613256,0.058731537793223286,0.3574144486692015,263,0.657997399219766,0.09213401310997815,0.16163552148219135,0.3420026007802341,769,0.6083674111355772,0.3521485797523671,0.4460846499827009,0.39163258886442276,3179
2,qSGLD,1.699520962568876,1.3683113527701936,0.34981123737346737,-0.7059460591584712,0.7771304900798305,0.5769527670569627,0.3441138116667179,0.739811387034114,0.527471707170717,0.8217407137654771,0.8387459406433466,0.7279035412361283,0.8892024763292061,1.3016689097910876,0.9729,0.5633050370711553,1.0,0.006919155134741442,0.013743218806509945,0.0,38,0.9813084112149533,0.17206846321922797,0.2927962819519752,0.018691588785046728,963,0.9394488759970994,0.47177713037144936,0.6281212121212121,0.06055112400290065,2758,0.866813671444322,0.715768390386016,0.7840829759648946,0.13318632855567805,4535,0.7155725399208407,0.9546613255644574,0.8180045245338948,0.28442746007915926,7327
2,cycSGLD,0.9990889913205949,1.0769874768214331,0.9453225156660998,0.9518136415164197,0.7459024523979098,0.7201532240459969,0.7214590689022042,0.6827445829554458,0.4435178317831783,0.7822286962855062,0.8092388526786286,1.8212370033012328,0.8477477282435822,0.05362376237847749,0.0558,0.9677541670333593,1.0,0.0001820830298616169,0.0003640997633351539,0.0,1,1.0,0.0001820830298616169,0.0003640997633351539,0.0,1,1.0,0.0001820830298616169,0.0003640997633351539,0.0,1,1.0,0.0001820830298616169,0.0003640997633351539,0.0,1,0.5492,1.0,0.7090111025045185,0.4508,10000
2,SGHMC,2.3314272994195098,0.49522033763076395,0.09996972263709228,-0.2568083582903108,0.6096052783294279,0.5222225231442057,0.44096799005311005,0.3995520315115203,0.2691091509150915,0.6902767662053897,0.7067652329920455,1.0978294979309313,0.7118276337736715,1.0878992013100537,0.8816,0.4460942202051514,1.0,0.0001820830298616169,0.0003640997633351539,0.0,1,0.9761904761904762,0.007465404224326293,0.014817491868449585,0.023809523809523808,42,0.874384236453202,0.064639475600874,0.12037978975924044,0.12561576354679804,406,0.8256254738438211,0.1982884195193008,0.31977683159594766,0.17437452615617893,1319,0.7300442168955085,0.5711944646758922,0.6409234855449994,0.26995578310449153,4297
2,AWSGLD,1.6602805685143134,1.3645018946263865,0.33753478099514145,-0.7095475899222667,0.7756230068259442,0.5738795667503267,0.3440735448626395,0.733449099398491,0.5218797879787979,0.8210123816460306,0.8377986689225343,0.7483081532794583,0.8861950366137143,1.2923876417490605,0.9758,0.5558576805696019,1.0,0.008375819373634377,0.016612495485734922,0.0,46,0.9793713163064833,0.18153678077203206,0.3062980030721966,0.0206286836935167,1018,0.9330229226361032,0.474326292789512,0.62892322549493,0.06697707736389685,2792,0.8673581990730523,0.7155863073561544,0.784196348398683,0.1326418009269477,4531,0.7149507119386638,0.9508375819373635,0.8161925601750548,0.2850492880613363,7304
3,tMH,5.133198525707932,1.4063678083552968,0.9073737310487704,0.629580485846713,0.7785933410493245,0.6919562111000293,0.6360755641800263,0.3663427154794272,0.24648092809280925,0.6727867660425377,0.6898554979393474,1.9895273258990867,0.6923227884893446,1.215643665748578,0.7592,0.39308227704174964,0.8846153846153846,0.03762952190510816,0.07218831734960768,0.11538461538461539,234,0.7932027649769585,0.2503181239774586,0.3805444244852839,0.20679723502304148,1736,0.7110202117420596,0.5371750590801673,0.6119913016464742,0.28897978825794035,4156,0.6444610778443114,0.782584984548264,0.7068385190050078,0.3555389221556886,6680,0.5501,1.0,0.7097606606025418,0.4499,10000
3,SGLD,5.072682172849866,0.16920259986036515,0.04862445625360143,-0.07010410105248566,0.5380310717723089,0.5110471030836282,0.48445491101886334,0.13281158268811583,0.08857801780178018,0.5942555898927467,0.6013395039299275,1.4726841963220274,0.570694919822818,1.1055476011225813,0.7793,0.3893181908164271,1.0,0.00018178512997636792,0.0003635041802980734,0.0,1,0.7419354838709677,0.004181057989456462,0.008315256688358641,0.25806451612903225,31,0.6940639269406392,0.027631339756407927,0.05314685314685314,0.3059360730593607,219,0.6756410256410257,0.0958007634975459,0.16780767393727114,0.3243589743589744,780,0.6098094345517026,0.3548445737138702,0.4486324982762583,0.3901905654482974,3201
3,qSGLD,1.697732232757646,1.356878439037401,0.38402588676636795,-0.6321222159709314,0.7756189865610708,0.5846911674135087,0.35942398497384376,0.7281035489970356,0.5161347334733473,0.8165788038538447,0.833960580423708,0.7477200497473546,0.882853282268103,1.2944509497536458,0.9712,0.5514092996657782,1.0,0.008543901108889293,0.01694304253785148,0.0,47,0.9846153846153847,0.16287947645882567,0.2795195757292154,0.015384615384615385,910,0.9340175953079178,0.4631885111797855,0.6192733017377567,0.06598240469208211,2728,0.8649425287356322,0.7113252135975278,0.7806483790523691,0.13505747126436782,4524,0.7081255895431883,0.9552808580258135,0.8133415879894753,0.29187441045681173,7421
3,cycSGLD,0.9990903304324434,1.076213269544875,0.9470360640556816,0.9502380419925796,0.7457550469221186,0.7204986847902061,0.7211436605177958,0.692903602385036,0.45458565856585653,0.7898563897473186,0.8158307633263072,1.8049844222012954,0.8554579520569701,0.05413149158274285,0.0564,0.9702726906444131,1.0,0.00018178512997636792,0.0003635041802980734,0.0,1,1.0,0.00018178512997636792,0.0003635041802980734,0.0,1,1.0,0.00018178512997636792,0.0003635041802980734,0.0,1,1.0,0.00018178512997636792,0.0003635041802980734,0.0,1,0.5501,1.0,0.7097606606025418,0.4499,10000
