K,n,gamma,method,precision,recall,F1,realFDR
3,118,0.05,tMH,0.8083055555555555,0.5510204081632653,0.6392488881017607,0.19169444444444445
3,118,0.05,SGLD,0.6,0.012244897959183673,0.023999999999999997,0.4
3,118,0.05,qSGLD,0.8326835802877781,0.4326530612244898,0.5679037643826377,0.1673164197122218
3,118,0.05,cycSGLD,1.0,0.061224489795918366,0.11538461538461538,0.0
3,118,0.05,SGHMC,0.8,0.016326530612244896,0.031999999999999994,0.2
3,118,0.05,AWSGLD,0.8346352657004831,0.4448979591836735,0.5785404486437892,0.1653647342995169
3,118,0.1,tMH,0.6389048714998082,0.7428571428571429,0.6811187183244793,0.36109512850019176
3,118,0.1,SGLD,0.6,0.012244897959183673,0.023999999999999997,0.4
3,118,0.1,qSGLD,0.6700538720538721,0.6734693877551021,0.6703843951573359,0.32994612794612793
3,118,0.1,cycSGLD,0.82,0.16734693877551018,0.2779661016949152,0.18
3,118,0.1,SGHMC,0.8,0.016326530612244896,0.031999999999999994,0.2
3,118,0.1,AWSGLD,0.6544266125707348,0.6816326530612244,0.6653656685376254,0.3455733874292653
3,118,0.15,tMH,0.5370723870128632,0.8612244897959183,0.6586633170925977,0.4629276129871368
3,118,0.15,SGLD,0.7,0.016326530612244896,0.031843137254901954,0.3
3,118,0.15,qSGLD,0.5792826960087021,0.8326530612244898,0.6826328631344617,0.42071730399129786
3,118,0.15,cycSGLD,0.7779220779220779,0.34285714285714286,0.4758953722334004,0.22207792207792204
3,118,0.15,SGHMC,0.9214285714285715,0.09387755102040818,0.16150989993612946,0.07857142857142857
3,118,0.15,AWSGLD,0.5637430222786872,0.8367346938775511,0.6725579655317361,0.43625697772131283
3,118,0.2,tMH,0.4720812655445659,0.926530612244898,0.6235428966582564,0.5279187344554341
3,118,0.2,SGLD,0.700952380952381,0.10204081632653061,0.17139795809033997,0.29904761904761906
3,118,0.2,qSGLD,0.5073711423233039,0.9142857142857144,0.65221980726761,0.49262885767669606
3,118,0.2,cycSGLD,0.6904761904761905,0.5918367346938775,0.6373626373626373,0.30952380952380953
3,118,0.2,SGHMC,0.8639130434782608,0.23265306122448978,0.35257090132090135,0.13608695652173913
3,118,0.2,AWSGLD,0.49077213428011984,0.926530612244898,0.6412911772776934,0.5092278657198801
3,118,0.3,tMH,0.4206357959613981,0.9918367346938777,0.5906419364073103,0.5793642040386019
3,118,0.3,SGLD,0.5243288084464555,0.3469387755102041,0.4120804794494067,0.4756711915535445
3,118,0.3,qSGLD,0.41941572322928256,0.9755102040816327,0.58651625320787,0.5805842767707174
3,118,0.3,cycSGLD,0.41525423728813565,1.0,0.5868263473053892,0.5847457627118644
3,118,0.3,SGHMC,0.6628035980221529,0.5877551020408164,0.6162113542090835,0.33719640197784717
3,118,0.3,AWSGLD,0.4161319612590799,0.9918367346938777,0.586231264179715,0.5838680387409201
