seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,mse_theta,mse_pi,spearman,kendall,topk,ndcg50,T_stop
6,Easy,acMH,1.1402,1.297,1.4192,22.09,2.6097,0.014309,0.7701,0.556,1.0,0.9265,8000
6,Easy,SGLD,5.3245,8.4957,9.689,6.09,5.151,0.141459,0.3387,0.2283,0.625,0.7737,8000
6,Easy,qSGLD,1.2702,1.5989,1.7363,8.9,1.7455,0.01383,0.7405,0.5192,1.0,0.9102,8000
6,Easy,cycSGLD,2.5111,3.4905,3.7912,8.27,2.3763,0.044379,0.7773,0.5628,1.0,0.9263,8000
6,Easy,SGHMC,2.3959,3.9949,4.5779,6.8,3.3231,0.076641,0.6988,0.4885,0.9,0.9026,8000
6,Easy,AWSGLD,1.0385,1.0956,1.1374,68.8,1.3794,0.019543,0.7776,0.5616,1.0,0.9278,8000
6,Moderate,acMH,1.2101,1.4355,1.5189,32.76,2.6985,0.092871,0.7698,0.5576,0.9189,0.9148,12000
6,Moderate,SGLD,4.0858,6.4148,7.9131,7.93,3.4495,0.122463,0.1947,0.1414,0.3784,0.6965,12000
6,Moderate,qSGLD,1.1716,1.3507,1.5609,11.88,1.3607,0.033122,0.7705,0.5527,0.9189,0.9122,12000
6,Moderate,cycSGLD,2.2617,2.8984,3.543,14.06,1.4582,0.037768,0.7961,0.5846,0.9459,0.925,12000
6,Moderate,SGHMC,2.0826,3.1842,3.7908,8.81,2.6353,0.088462,0.5706,0.396,0.7027,0.8335,12000
6,Moderate,AWSGLD,1.045,1.0976,1.1083,90.49,0.9682,0.021449,0.7902,0.5745,0.9459,0.9226,12000
6,Difficult,acMH,1.1471,1.3534,1.4284,33.5,2.0375,0.094096,0.6902,0.5018,0.6875,0.9052,11000
6,Difficult,SGLD,3.2646,5.4344,6.4203,7.6,1.767,0.076177,0.1035,0.0667,0.4062,0.677,11000
6,Difficult,qSGLD,1.2172,1.463,1.6593,10.99,1.7451,0.072314,0.683,0.478,0.7812,0.8994,11000
6,Difficult,cycSGLD,2.047,2.8091,3.1545,16.89,0.7426,0.027684,0.7704,0.5624,0.75,0.9379,11000
6,Difficult,SGHMC,1.8359,3.1713,3.6002,8.66,1.4928,0.064976,0.4198,0.2873,0.5625,0.8036,11000
6,Difficult,AWSGLD,1.0493,1.1097,1.1334,91.76,0.5918,0.020999,0.7516,0.5479,0.7812,0.9345,11000
6,Sparse,acMH,1.0411,1.1229,1.1759,46.69,3.031,0.141387,0.5018,0.3451,0.75,0.8215,16000
6,Sparse,SGLD,3.3542,5.353,7.4407,9.84,2.479,0.110782,0.1065,0.0747,0.25,0.6752,16000
6,Sparse,qSGLD,1.2716,1.638,2.0022,13.78,3.9554,0.157622,0.5677,0.3814,0.8214,0.8312,16000
6,Sparse,cycSGLD,2.521,3.4778,4.5337,20.26,1.6565,0.071123,0.6296,0.4384,0.7143,0.8587,16000
6,Sparse,SGHMC,2.1211,2.9161,4.5401,10.79,2.1906,0.096366,0.3625,0.2384,0.5714,0.7608,16000
6,Sparse,AWSGLD,1.0404,1.0853,1.113,72.87,1.3088,0.052619,0.675,0.4638,0.8214,0.8739,16000
