seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
7,Easy,acMH,1.1146,1.1976,1.3035,29.71,3.3038,3.4475,-3.3903,0.9442,0.9529,0.0448,85.1,0.7046,0.4663,1.0,0.9182,2.7964,15000
7,Easy,SGLD,4.677,7.0232,9.4074,9.25,0.8733,0.7523,0.2298,0.6929,0.6628,0.5544,106.85,0.4687,0.3111,0.6,0.7782,5.3192,15000
7,Easy,qSGLD,1.3672,1.8567,2.162,11.53,3.2736,3.1905,-3.1304,0.9374,0.9282,0.0574,124.97,0.7434,0.5115,1.0,0.918,2.454,15000
7,Easy,cycSGLD,2.0807,2.5335,2.7386,14.29,1.4769,1.465,-0.97,0.8003,0.8044,0.2772,54.0,0.7216,0.4937,1.0,0.925,1.8239,15000
7,Easy,SGHMC,2.3801,3.8405,4.5365,9.91,1.798,1.6245,-0.0693,0.8319,0.8072,0.4827,102.64,0.7593,0.5422,0.9,0.9287,4.1118,15000
7,Easy,AWSGLD,1.0419,1.1179,1.1402,106.11,1.407,1.4314,-1.485,0.7899,0.7984,0.1898,54.0,0.7185,0.484,1.0,0.922,1.1072,15000
7,Moderate,acMH,1.2415,1.505,1.6404,18.09,1.4011,1.1717,0.0078,0.789,0.7541,0.5019,68.25,0.7202,0.4921,0.9737,0.9148,2.3908,5000
7,Moderate,SGLD,5.0534,9.538,10.6156,5.32,0.3565,0.2497,0.2839,0.5814,0.5562,0.5678,93.95,-0.0207,-0.0069,0.3421,0.6462,3.5505,5000
7,Moderate,qSGLD,1.3311,1.8029,1.9874,7.75,2.0131,1.7772,-1.5234,0.8562,0.8106,0.1925,105.7,0.722,0.4978,0.9474,0.9132,1.148,5000
7,Moderate,cycSGLD,3.3979,5.2855,7.4838,8.76,1.0523,0.9882,-0.1693,0.734,0.7195,0.4579,51.0,0.7036,0.4735,0.9737,0.8975,2.0516,5000
7,Moderate,SGHMC,2.7893,5.1078,5.7706,5.92,0.7078,0.6133,0.213,0.6525,0.6316,0.5506,93.16,0.2859,0.1915,0.5263,0.7426,3.2175,5000
7,Moderate,AWSGLD,1.0433,1.1206,1.2289,48.28,0.8199,0.6944,-1.1982,0.6877,0.6569,0.235,51.0,0.7307,0.5059,0.9737,0.9075,0.7975,5000
7,Difficult,acMH,1.1941,1.4952,1.6713,29.31,1.1306,0.7868,0.6574,0.7472,0.6854,0.6567,58.71,0.4695,0.3244,0.6176,0.8442,2.0921,9000
7,Difficult,SGLD,3.4624,5.9641,7.6916,6.37,0.3737,0.2729,0.2009,0.5898,0.5645,0.5472,86.61,0.2026,0.1321,0.3824,0.6612,1.5367,9000
7,Difficult,qSGLD,1.2122,1.4164,1.6807,9.96,1.7744,0.8687,-1.3136,0.8354,0.6955,0.2249,97.24,0.7115,0.5075,0.7941,0.9026,0.8863,9000
7,Difficult,cycSGLD,2.0782,2.9122,3.3117,13.05,0.9415,0.3496,-0.5337,0.7129,0.5849,0.3707,54.0,0.681,0.4752,0.8235,0.9098,0.5722,9000
7,Difficult,SGHMC,2.0334,3.5226,4.966,7.22,0.8945,0.5607,0.0823,0.7013,0.6302,0.5187,91.17,0.5573,0.3956,0.7059,0.8269,1.2387,9000
7,Difficult,AWSGLD,1.0458,1.1041,1.1248,73.59,0.8168,0.1143,-1.1218,0.6869,0.5278,0.2498,54.0,0.6811,0.4756,0.8235,0.89,0.5411,9000
7,Sparse,acMH,1.3946,1.7742,2.1809,18.61,1.1926,1.2763,0.1489,0.7436,0.7719,0.5362,84.1,0.507,0.3539,0.8519,0.8398,1.4038,7000
7,Sparse,SGLD,4.1142,7.2035,8.5945,5.78,0.6894,0.6618,0.545,0.6514,0.6528,0.625,96.2,0.1313,0.0921,0.3333,0.6736,2.3592,7000
7,Sparse,qSGLD,1.3206,1.7136,2.1034,9.17,1.6105,1.7978,-1.2163,0.7781,0.8266,0.2432,117.58,0.6273,0.4291,0.8889,0.8649,1.0241,7000
7,Sparse,cycSGLD,3.1743,4.2321,4.4923,10.0,1.0852,1.1017,-0.0777,0.7302,0.7424,0.4806,57.0,0.5663,0.383,0.9259,0.8661,1.0381,7000
7,Sparse,SGHMC,2.2819,3.6921,4.1234,6.48,1.0493,1.0453,0.4544,0.7153,0.7247,0.6044,93.08,0.3799,0.2659,0.5185,0.7943,2.0963,7000
7,Sparse,AWSGLD,1.0457,1.1307,1.1896,57.81,0.9329,0.7959,-0.9502,0.6957,0.6807,0.2812,57.0,0.6103,0.4166,0.9259,0.8831,0.5368,7000
