seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
5,Easy,acMH,1.2287,1.4233,1.5272,17.01,5.0218,3.8838,-4.9691,0.9752,0.9577,0.023,120.9,0.7482,0.5374,1.0,0.9367,8.9189,10000
5,Easy,SGLD,5.1437,7.7615,9.5145,6.62,0.9627,0.5644,0.0945,0.7119,0.6285,0.522,109.37,0.4617,0.3152,0.65,0.8116,4.9441,10000
5,Easy,qSGLD,1.5032,1.9779,2.2038,7.79,3.7462,2.2817,-3.7343,0.9417,0.8722,0.0413,120.11,0.7606,0.5511,1.0,0.9455,3.1962,10000
5,Easy,cycSGLD,2.4518,2.8959,3.088,10.21,1.6631,1.2036,-0.9215,0.8232,0.759,0.2869,53.0,0.7557,0.5487,1.0,0.9371,1.884,10000
5,Easy,SGHMC,2.6471,3.9382,4.6251,7.17,1.805,0.9897,-0.2112,0.8192,0.7097,0.4505,107.1,0.7218,0.518,0.875,0.9175,3.7245,10000
5,Easy,AWSGLD,1.0409,1.086,1.1322,80.66,1.6916,1.2029,-1.5927,0.8268,0.7588,0.1764,53.0,0.7483,0.5426,1.0,0.941,0.9603,10000
5,Moderate,acMH,1.215,1.4361,1.485,25.24,2.6783,2.519,-1.751,0.9157,0.9041,0.1609,83.4,0.7283,0.503,0.9744,0.9315,1.5315,10000
5,Moderate,SGLD,4.1247,6.4972,8.0414,6.71,0.8664,0.5325,0.0161,0.6963,0.6224,0.5035,106.22,0.4843,0.3321,0.7179,0.8245,2.7731,10000
5,Moderate,qSGLD,1.5072,2.1262,2.4253,8.31,4.0424,3.2503,-2.9119,0.9583,0.9306,0.079,112.72,0.7482,0.5257,0.9744,0.9426,4.7016,10000
5,Moderate,cycSGLD,1.9673,2.4062,2.4899,12.49,1.5929,1.426,-0.9505,0.8166,0.7969,0.2818,55.0,0.7349,0.5107,0.9744,0.9318,1.0054,10000
5,Moderate,SGHMC,2.2107,3.3063,3.9141,7.25,1.6637,1.1211,-0.2816,0.8132,0.7414,0.4339,100.52,0.7367,0.5281,0.8974,0.9337,2.015,10000
5,Moderate,AWSGLD,1.0444,1.1071,1.1815,80.73,1.7398,1.601,-1.3618,0.835,0.8208,0.2106,55.0,0.7312,0.5075,0.9744,0.9264,0.7992,10000
5,Difficult,acMH,1.2767,1.6829,1.9031,25.21,1.4693,1.3899,-0.4233,0.8029,0.7874,0.3982,72.2,0.6645,0.4695,0.7714,0.8875,1.0665,10000
5,Difficult,SGLD,3.3308,5.4089,7.1405,6.71,0.7175,0.4796,-0.0289,0.6667,0.6117,0.493,99.21,0.45,0.3026,0.6,0.806,1.3698,10000
5,Difficult,qSGLD,1.3636,1.8783,2.2855,8.64,2.6322,1.9424,-1.7482,0.9168,0.8442,0.1866,105.19,0.6703,0.4731,0.7714,0.9069,2.449,10000
5,Difficult,cycSGLD,1.8015,2.3502,2.8087,16.81,0.8999,0.7319,-0.6763,0.7064,0.6695,0.3396,56.0,0.66,0.4545,0.7714,0.8919,0.7184,10000
5,Difficult,SGHMC,1.8994,2.752,3.7028,7.22,1.2931,0.9669,-0.2519,0.7754,0.7156,0.4414,93.39,0.6553,0.4626,0.7143,0.9075,1.1073,10000
5,Difficult,AWSGLD,1.0457,1.1003,1.1645,85.9,0.8624,0.6556,-0.9865,0.6991,0.653,0.2771,56.0,0.6494,0.4457,0.7714,0.8899,0.701,10000
5,Sparse,acMH,1.1566,1.3025,1.4308,31.77,1.2137,1.4418,0.3353,0.7473,0.7935,0.5818,62.48,0.5404,0.3871,0.7419,0.8287,1.7522,10000
5,Sparse,SGLD,3.7071,6.3778,7.3723,6.77,1.0592,0.9162,0.4232,0.7334,0.7013,0.5984,97.07,0.2926,0.1939,0.5484,0.7574,2.1137,10000
5,Sparse,qSGLD,1.2999,1.7906,1.9109,8.83,2.6304,2.3231,-0.7343,0.8489,0.8823,0.3412,92.73,0.6028,0.4255,0.8387,0.8635,1.5217,10000
5,Sparse,cycSGLD,2.746,3.5181,4.6332,13.22,0.8822,0.8888,-0.0254,0.6929,0.7035,0.4934,55.0,0.5349,0.3681,0.7097,0.8658,1.2149,10000
5,Sparse,SGHMC,2.2858,3.4307,3.748,7.32,1.5727,1.4821,0.3266,0.7952,0.7997,0.5776,93.91,0.5339,0.3745,0.6774,0.8724,1.8569,10000
5,Sparse,AWSGLD,1.0476,1.1044,1.1622,89.9,0.6146,0.4397,-0.7401,0.6379,0.6056,0.3264,55.0,0.5731,0.3903,0.7742,0.8607,0.8263,10000
