seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,mse_theta,mse_pi,spearman,kendall,topk,ndcg50,T_stop
3,Easy,acMH,1.1484,1.271,1.3826,26.44,2.3011,0.023579,0.7455,0.5168,0.975,0.8943,11000
3,Easy,SGLD,4.7605,7.1878,9.9963,7.28,6.0585,0.187447,0.1291,0.0954,0.475,0.6627,11000
3,Easy,qSGLD,1.417,2.0628,2.4545,9.63,3.1891,0.033258,0.7228,0.4913,0.975,0.9181,11000
3,Easy,cycSGLD,2.1715,2.7066,2.8315,10.68,2.7385,0.057735,0.7491,0.52,0.975,0.8996,11000
3,Easy,SGHMC,2.3159,3.8085,4.8667,7.84,5.8515,0.180991,0.4543,0.3059,0.65,0.8042,11000
3,Easy,AWSGLD,1.0479,1.0986,1.1781,88.28,1.8703,0.032005,0.7421,0.5115,1.0,0.9021,11000
3,Moderate,acMH,1.286,1.5581,1.7333,20.87,2.4548,0.081763,0.7308,0.5046,0.9167,0.8931,6000
3,Moderate,SGLD,4.6947,7.374,10.646,5.22,3.31,0.126306,0.28,0.1947,0.5278,0.6722,6000
3,Moderate,qSGLD,1.4954,2.2816,2.6674,7.37,2.4287,0.04673,0.7589,0.5313,0.8889,0.9181,6000
3,Moderate,cycSGLD,2.626,3.6455,4.4147,10.06,1.9568,0.062935,0.7608,0.5329,0.9167,0.9021,6000
3,Moderate,SGHMC,2.3927,3.5091,4.7088,5.7,3.2032,0.122203,0.4564,0.318,0.6389,0.8066,6000
3,Moderate,AWSGLD,1.0389,1.1035,1.145,63.28,1.1571,0.030886,0.761,0.5285,0.9167,0.894,6000
3,Difficult,acMH,1.0267,1.0865,1.1545,44.67,2.8563,0.136503,0.0609,0.0352,0.4118,0.6388,14000
3,Difficult,SGLD,2.8231,4.73,5.676,8.73,1.7902,0.082809,0.1999,0.1382,0.4412,0.6528,14000
3,Difficult,qSGLD,1.3514,1.7934,2.33,11.0,3.6495,0.149619,0.4091,0.2671,0.5882,0.779,14000
3,Difficult,cycSGLD,2.0151,2.8624,3.1312,23.73,1.0283,0.043198,0.6272,0.4356,0.7647,0.8497,14000
3,Difficult,SGHMC,1.7931,2.8475,3.9211,9.42,2.2421,0.102911,0.284,0.1915,0.5882,0.7164,14000
3,Difficult,AWSGLD,1.049,1.1108,1.1938,94.19,0.8773,0.035258,0.633,0.438,0.7647,0.8532,14000
3,Sparse,acMH,1.1178,1.2777,1.3342,38.24,2.0743,0.099974,0.4424,0.3034,0.7097,0.8344,14000
3,Sparse,SGLD,3.2866,5.1843,6.1854,8.7,2.6463,0.121193,0.1634,0.1075,0.3226,0.6357,14000
3,Sparse,qSGLD,1.2999,1.6609,1.8689,10.55,2.1682,0.081311,0.4901,0.3422,0.7419,0.838,14000
3,Sparse,cycSGLD,2.4406,3.2462,3.5884,17.72,1.2065,0.053092,0.5634,0.402,0.8065,0.8603,14000
3,Sparse,SGHMC,1.9481,3.0624,3.8005,9.39,3.1625,0.14307,0.2635,0.1766,0.4839,0.7353,14000
3,Sparse,AWSGLD,1.0324,1.0802,1.113,102.7,0.6728,0.024884,0.5795,0.404,0.8387,0.8796,14000
