seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,mse_theta,mse_pi,spearman,kendall,topk,ndcg50,T_stop
1,Easy,acMH,1.3192,1.5019,1.6346,23.65,2.5431,0.025353,0.7535,0.5362,0.975,0.9267,10000
1,Easy,SGLD,5.0877,8.005,8.9146,6.79,5.6275,0.165028,0.31,0.1972,0.625,0.7479,10000
1,Easy,qSGLD,1.2734,1.654,2.2446,9.53,1.6565,0.019104,0.7602,0.5349,1.0,0.9002,10000
1,Easy,cycSGLD,2.2504,2.8462,3.0279,11.23,2.4044,0.04566,0.7533,0.5349,1.0,0.9001,10000
1,Easy,SGHMC,2.5413,3.7758,4.8249,7.78,4.717,0.129786,0.6577,0.4408,0.9,0.8541,10000
1,Easy,AWSGLD,1.0412,1.1251,1.1465,82.03,1.5752,0.02479,0.7561,0.5362,1.0,0.9383,10000
1,Moderate,acMH,1.266,1.5551,1.6864,30.39,0.9837,0.024618,0.7619,0.5463,0.8571,0.9266,11000
1,Moderate,SGLD,3.8898,6.0229,6.9885,7.2,3.1281,0.110803,0.2302,0.1503,0.4571,0.6813,11000
1,Moderate,qSGLD,1.2344,1.5463,1.7491,9.42,0.985,0.020984,0.7832,0.564,0.8857,0.9208,11000
1,Moderate,cycSGLD,2.3564,2.8598,3.2252,11.72,1.2583,0.031963,0.7714,0.5572,0.8571,0.9236,11000
1,Moderate,SGHMC,1.9867,3.1254,3.4513,8.04,2.3863,0.077632,0.6061,0.4016,0.7714,0.8132,11000
1,Moderate,AWSGLD,1.0314,1.0738,1.101,82.32,0.776,0.018549,0.7841,0.5713,0.8857,0.939,11000
1,Difficult,acMH,1.1756,1.4378,1.5758,32.64,1.817,0.080542,0.5697,0.3911,0.7,0.845,11000
1,Difficult,SGLD,2.9457,4.6894,6.297,7.21,1.6185,0.069735,0.185,0.1208,0.4,0.6702,11000
1,Difficult,qSGLD,1.2469,1.6244,1.7083,9.59,1.2264,0.044411,0.6549,0.4493,0.7667,0.8727,11000
1,Difficult,cycSGLD,1.8977,2.4627,2.7753,16.12,0.8014,0.030216,0.664,0.4626,0.7667,0.8802,11000
1,Difficult,SGHMC,1.721,2.543,2.9867,8.08,1.2927,0.053819,0.4589,0.316,0.6333,0.7657,11000
1,Difficult,AWSGLD,1.0455,1.1069,1.1452,77.1,0.6974,0.02652,0.6817,0.4747,0.8,0.8863,11000
1,Sparse,acMH,1.3398,1.6708,1.7775,30.86,1.6051,0.067556,0.6378,0.442,0.8214,0.865,10000
1,Sparse,SGLD,3.7636,5.7894,6.7515,6.87,2.8895,0.131687,-0.082,-0.0545,0.3214,0.5833,10000
1,Sparse,qSGLD,1.1771,1.3669,1.6728,10.89,0.8711,0.026738,0.5832,0.3842,0.9643,0.8417,10000
1,Sparse,cycSGLD,2.3297,2.9646,3.1979,14.45,1.1211,0.042879,0.5937,0.4012,0.8571,0.8456,10000
1,Sparse,SGHMC,2.0985,3.2459,3.5194,7.71,2.6577,0.12156,0.228,0.1475,0.4643,0.7427,10000
1,Sparse,AWSGLD,1.0287,1.0807,1.1169,90.74,0.682,0.023672,0.5976,0.398,0.9286,0.8668,10000
