seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,mse_theta,mse_pi,spearman,kendall,topk,ndcg50,T_stop
9,Easy,acMH,1.2865,1.4799,1.7149,25.28,2.4488,0.034251,0.7371,0.5131,1.0,0.9186,8000
9,Easy,SGLD,5.2228,8.3965,12.0263,6.24,5.6314,0.174628,0.0808,0.059,0.475,0.6365,8000
9,Easy,qSGLD,1.2964,1.7252,2.4955,9.17,2.7554,0.022342,0.7202,0.499,0.975,0.9176,8000
9,Easy,cycSGLD,2.2621,3.2331,3.6701,8.07,2.4597,0.053962,0.7361,0.5127,1.0,0.9165,8000
9,Easy,SGHMC,2.3969,4.212,6.0272,7.12,4.5405,0.130054,0.4928,0.3341,0.775,0.8042,8000
9,Easy,AWSGLD,1.0386,1.1046,1.1212,81.25,1.5966,0.028091,0.7483,0.5236,1.0,0.9156,8000
9,Moderate,acMH,1.1761,1.334,1.3872,26.21,2.373,0.081553,0.726,0.4994,0.9487,0.9168,8000
9,Moderate,SGLD,4.0032,6.8824,10.1586,6.29,3.2542,0.126751,0.0207,0.019,0.4359,0.5878,8000
9,Moderate,qSGLD,1.28,1.6747,2.3673,9.76,2.0043,0.039675,0.7284,0.5115,0.8974,0.9168,8000
9,Moderate,cycSGLD,1.9186,2.7905,3.4223,11.5,1.6422,0.054695,0.7417,0.5204,0.9231,0.9201,8000
9,Moderate,SGHMC,2.0611,3.7015,5.0324,7.12,2.8012,0.106352,0.3436,0.2311,0.5897,0.7446,8000
9,Moderate,AWSGLD,1.0466,1.1197,1.1404,79.49,1.21,0.036323,0.7565,0.537,0.9744,0.923,8000
9,Difficult,acMH,1.0443,1.1911,1.34,38.4,2.8943,0.138506,0.2603,0.1778,0.4545,0.6636,12000
9,Difficult,SGLD,3.0026,4.8856,6.1061,7.74,1.4351,0.066795,0.0546,0.0356,0.3636,0.5503,12000
9,Difficult,qSGLD,1.2266,1.5322,1.7068,11.68,2.0309,0.096189,0.4566,0.3091,0.6364,0.7847,12000
9,Difficult,cycSGLD,2.1077,2.9288,3.6957,17.86,0.9762,0.043443,0.4866,0.337,0.5152,0.7906,12000
9,Difficult,SGHMC,1.8033,2.6678,3.3969,8.8,1.3291,0.062104,0.2022,0.1491,0.4545,0.6995,12000
9,Difficult,AWSGLD,1.049,1.1473,1.1727,73.0,0.8944,0.039132,0.5438,0.3766,0.5455,0.8142,12000
9,Sparse,acMH,1.2358,1.5705,1.8323,27.65,1.6906,0.067595,0.5767,0.4004,0.8333,0.8547,8000
9,Sparse,SGLD,3.735,6.3199,8.9755,6.29,2.1352,0.09925,0.0887,0.063,0.4,0.5924,8000
9,Sparse,qSGLD,1.2636,1.6419,1.8061,10.11,1.3966,0.032379,0.6181,0.4255,0.8333,0.8673,8000
9,Sparse,cycSGLD,2.1733,2.9515,3.6011,12.24,0.9574,0.041323,0.6653,0.4675,0.8,0.8781,8000
9,Sparse,SGHMC,2.051,3.3303,5.0279,7.23,1.7779,0.083253,0.3212,0.2162,0.5667,0.7324,8000
9,Sparse,AWSGLD,1.0461,1.1217,1.1735,76.59,0.589,0.021864,0.6665,0.4667,0.8667,0.8789,8000
