seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
8,Easy,acMH,1.1005,1.177,1.2274,27.82,4.7514,3.3905,-3.6328,0.97,0.9107,0.0407,127.64,0.7188,0.5002,0.975,0.8879,4.7919,12000
8,Easy,SGLD,5.0699,7.3962,9.6216,7.8,0.7025,0.3588,0.2087,0.6599,0.5817,0.5494,113.04,0.2977,0.2044,0.475,0.7313,5.6568,12000
8,Easy,qSGLD,1.3599,1.7173,1.8862,9.63,4.2218,3.0524,-3.2636,0.9569,0.9049,0.0588,150.41,0.7128,0.4937,0.975,0.9002,3.6385,12000
8,Easy,cycSGLD,2.1647,2.7586,2.8775,11.64,1.8497,1.3298,-0.9815,0.8452,0.7688,0.2751,53.0,0.7126,0.4958,0.975,0.8971,1.9461,12000
8,Easy,SGHMC,2.495,4.1764,5.5685,8.9,1.419,0.8591,0.0027,0.7864,0.6826,0.5003,94.0,0.5786,0.3915,0.75,0.8483,4.6063,12000
8,Easy,AWSGLD,1.0428,1.1066,1.219,92.02,1.9445,1.422,-1.519,0.8534,0.781,0.1851,53.0,0.715,0.4945,1.0,0.896,1.1764,12000
8,Moderate,acMH,1.1902,1.3893,1.5293,34.54,2.2609,1.6785,-1.0652,0.8757,0.7988,0.2674,91.55,0.7538,0.5313,0.9231,0.917,1.4334,12000
8,Moderate,SGLD,4.0369,6.1804,8.0518,7.85,0.5549,0.1592,0.1623,0.6271,0.5346,0.5386,107.85,0.2071,0.1406,0.4103,0.6883,3.4305,12000
8,Moderate,qSGLD,1.3387,1.7157,1.8783,10.38,2.4993,1.4222,-1.6649,0.886,0.7563,0.186,134.85,0.7406,0.5192,0.9231,0.9204,1.3972,12000
8,Moderate,cycSGLD,2.0294,2.6624,2.8169,14.97,1.2451,0.7644,-0.6529,0.7659,0.671,0.3445,56.0,0.7613,0.539,0.9231,0.9216,1.3949,12000
8,Moderate,SGHMC,2.2734,3.5701,4.6159,8.95,1.0627,0.3978,0.0559,0.7281,0.5924,0.513,95.67,0.4874,0.3337,0.6667,0.824,2.9371,12000
8,Moderate,AWSGLD,1.049,1.1577,1.2535,92.72,1.2132,0.7356,-1.0642,0.7602,0.6631,0.2612,56.0,0.7598,0.5341,0.9487,0.93,0.9431,12000
8,Difficult,acMH,1.0363,1.1339,1.1865,40.07,1.0633,0.5498,1.1257,0.729,0.6263,0.749,56.88,-0.1737,-0.1038,0.2571,0.5599,3.1569,12000
8,Difficult,SGLD,3.2373,5.3784,6.3676,7.86,0.2956,0.0144,0.1933,0.57,0.5021,0.5463,100.4,0.0732,0.0501,0.4,0.6455,1.469,12000
8,Difficult,qSGLD,1.2304,1.4672,1.6252,11.29,1.4615,0.3571,1.3419,0.756,0.5701,0.7768,113.27,-0.0932,-0.0586,0.2571,0.6031,4.2019,12000
8,Difficult,cycSGLD,1.8591,2.648,3.267,18.27,0.3179,-0.3708,0.201,0.559,0.4124,0.549,55.0,-0.1513,-0.1026,0.2857,0.6181,1.5831,12000
8,Difficult,SGHMC,2.0206,3.0419,3.7039,8.92,0.3926,0.0141,0.3686,0.5856,0.5045,0.587,87.73,-0.0104,-0.0057,0.2857,0.6194,1.7659,12000
8,Difficult,AWSGLD,1.0436,1.0956,1.1676,88.68,0.1771,-0.5802,0.0547,0.5258,0.3704,0.5131,55.0,-0.1709,-0.1164,0.3143,0.6087,1.5834,12000
8,Sparse,acMH,1.095,1.1787,1.2478,41.24,1.0769,1.3357,0.5957,0.7331,0.7813,0.6434,62.25,0.5423,0.3794,0.7333,0.8368,2.4015,15000
8,Sparse,SGLD,3.1818,5.7457,6.3236,9.28,0.936,0.5731,0.5116,0.7146,0.6347,0.6181,113.85,0.2163,0.1463,0.4667,0.6573,2.429,15000
8,Sparse,qSGLD,1.2759,1.7054,1.9368,12.44,1.8414,2.8364,-0.2643,0.8323,0.896,0.4385,129.97,0.6339,0.4457,0.8667,0.8694,1.9618,15000
8,Sparse,cycSGLD,1.9737,2.5478,2.6853,20.07,0.6594,1.2081,-0.1427,0.6488,0.7583,0.4646,60.0,0.6729,0.4711,0.8333,0.8928,1.1205,15000
8,Sparse,SGHMC,2.019,3.0196,3.4568,10.23,1.1036,1.0775,0.4765,0.7403,0.7289,0.6108,109.35,0.3997,0.2796,0.5667,0.8012,2.3135,15000
8,Sparse,AWSGLD,1.0452,1.1182,1.2723,104.78,0.5605,1.1777,-0.505,0.6264,0.7514,0.3788,60.0,0.6546,0.4481,0.9,0.896,0.7863,15000
