seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,mse_theta,mse_pi,spearman,kendall,topk,ndcg50,T_stop
0,Easy,acMH,1.2769,1.4849,1.6497,22.99,2.1209,0.02952,0.76,0.5414,1.0,0.9169,7000
0,Easy,SGLD,5.5679,9.2298,9.9061,5.47,4.9567,0.144742,0.4016,0.2727,0.7,0.779,7000
0,Easy,qSGLD,1.3845,1.9054,2.0985,7.65,2.5957,0.02432,0.7623,0.5479,1.0,0.9294,7000
0,Easy,cycSGLD,2.8145,3.7643,4.16,8.95,2.5984,0.058435,0.7501,0.5305,1.0,0.9145,7000
0,Easy,SGHMC,2.6806,4.5189,5.0974,6.22,3.9652,0.110711,0.6913,0.482,0.85,0.8937,7000
0,Easy,AWSGLD,1.0402,1.0857,1.1111,67.87,1.5258,0.02615,0.7531,0.5406,1.0,0.9223,7000
0,Moderate,acMH,1.2073,1.3993,1.4489,22.19,1.9401,0.062671,0.7937,0.5802,0.9444,0.9336,7000
0,Moderate,SGLD,4.26,7.5202,8.2172,5.5,2.797,0.101825,0.3764,0.2622,0.5556,0.7509,7000
0,Moderate,qSGLD,1.3334,1.7729,1.9775,8.26,2.3615,0.045574,0.7975,0.5919,0.9167,0.9301,7000
0,Moderate,cycSGLD,2.3457,3.2903,3.7497,11.18,1.6047,0.052249,0.8037,0.5952,0.9167,0.9309,7000
0,Moderate,SGHMC,2.1631,3.849,4.3601,6.32,2.3595,0.085547,0.6634,0.4679,0.75,0.8805,7000
0,Moderate,AWSGLD,1.0364,1.0964,1.1487,62.16,1.1028,0.031677,0.8202,0.6255,0.9444,0.9343,7000
0,Difficult,acMH,1.0605,1.2102,1.2653,61.27,2.3913,0.113466,0.2704,0.1923,0.4571,0.7262,20000
0,Difficult,SGLD,2.8101,4.67,6.1946,11.75,1.5457,0.070415,0.1134,0.0772,0.3714,0.657,20000
0,Difficult,qSGLD,1.1322,1.2939,1.4287,16.92,2.7514,0.126015,0.3806,0.2634,0.5429,0.7697,20000
0,Difficult,cycSGLD,1.8323,2.7128,2.9241,31.23,1.0,0.040432,0.5621,0.4101,0.5714,0.8138,20000
0,Difficult,SGHMC,1.7045,2.6434,3.7141,12.69,1.6294,0.075954,0.2336,0.1455,0.4857,0.6874,20000
0,Difficult,AWSGLD,1.067,1.1484,1.1706,92.18,0.9349,0.037169,0.5963,0.4303,0.5714,0.8252,20000
0,Sparse,acMH,1.0862,1.1869,1.2256,29.38,2.6187,0.126043,0.3492,0.2388,0.5294,0.7744,9000
0,Sparse,SGLD,4.0529,6.7574,7.5498,6.48,1.8999,0.087474,0.325,0.2259,0.5882,0.6947,9000
0,Sparse,qSGLD,1.2648,1.6664,1.8799,9.62,1.4867,0.052755,0.6657,0.4626,0.8235,0.8826,9000
0,Sparse,cycSGLD,3.0737,4.6586,5.3615,13.64,1.195,0.049677,0.6366,0.4509,0.7353,0.8981,9000
0,Sparse,SGHMC,2.2709,3.4147,3.7508,7.18,1.7964,0.083439,0.4988,0.3459,0.5882,0.8313,9000
0,Sparse,AWSGLD,1.0434,1.0957,1.1795,76.13,0.7209,0.02457,0.6895,0.4836,0.7941,0.8946,9000
