#truth,2741,n,5000,mu,2.0,alpha,0.2,zeta,1.0
seed,method,rmed,thS,thW,thN,piS,piW,piN,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
0,tMH,3.7825750225973787,0.9681912615406144,0.5952710819243312,0.34980085068881145,0.7054133316313748,0.6312113849786942,0.5775471134826617,0.3258496392739855,0.21999567913582718,0.6670297748729122,0.6840006616458434,2.8558149234892367,0.6744358242620949,1.2251025091264929,0.7008,0.38836576467312467,1.0,0.004720406681190995,0.0093964582580412,0.0,13,0.8220338983050848,0.07044299201161947,0.12976588628762542,0.17796610169491525,236,0.7546549835706462,0.2501815541031227,0.37578401963457864,0.24534501642935377,913,0.7084221748400853,0.48257080610021785,0.5740820734341252,0.2915778251599147,1876,0.6007846983815596,0.8896151053013798,0.7172131147540984,0.39921530161844043,4078
0,SGLD,1.0466552146718882,1.0333150968976312,0.9116516860182767,0.9164911731473414,0.7375165007761565,0.7132992117491148,0.7142872298255549,0.7052318444972737,0.46582964592918585,0.7904865649963689,0.8194096878392277,3.3504036234238455,0.8552459274003458,0.07968659678255277,0.0114,0.8279933558364196,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,0.5508,1.0,0.7103430487490328,0.4492,5000
0,qSGLD,39.08700124335603,-25.732671419104122,-38.58566728394512,-41.66457646955583,0.32826111564824684,0.2460404567773648,0.22672051781025748,0.1255977450559098,0.08356039207841569,0.5900508351488744,0.5957218791851308,4284.123839992632,0.5671776048567906,87.03204441902504,0.8528,0.3807588988323302,0.6269177126917713,0.32643427741466957,0.42932187201528177,0.37308228730822873,1434,0.6209624258404747,0.3420479302832244,0.4411144930929525,0.3790375741595254,1517,0.6210329807093964,0.3623819898329702,0.45769318963540473,0.3789670192906036,1607,0.6157000585823081,0.3816267247639797,0.47119479937233805,0.38429994141769186,1707,0.6037929267042542,0.4277414669571532,0.5007438894792774,0.3962070732957458,1951
0,cycSGLD,97.06911857955792,1.9182526235932906,1.0702013855715728,0.41688329211437564,0.5479582268017021,0.5191290408064549,0.5069193262203043,0.020521756756870266,0.013659691938387678,0.5617283950617284,0.5613227026103934,399.2020884856479,0.5082373505452442,31.34382309027294,0.8836,0.3782893743319738,0.5612691466083151,0.5588235294117647,0.5600436681222707,0.4387308533916849,2742,0.5638479972612119,0.5980392156862745,0.5804405286343612,0.43615200273878807,2921,0.5624394966118103,0.6328976034858388,0.5955920041004612,0.43756050338818975,3099,0.5569389614333434,0.6659404502541757,0.606581776087316,0.4430610385666565,3293,0.553134962805526,0.7559912854030502,0.6388462718625345,0.44686503719447396,3764
0,SGHMC,1.0573824888486092,1.0824190053405711,0.9404083698961335,0.944019253088882,0.7468803070551254,0.7191135516658993,0.7198413218821301,0.7071245397729815,0.4706138027605521,0.789760348583878,0.8185722793158167,3.3772704602766046,0.8575026626857332,0.20348832274139994,0.0468,0.6543468092100093,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,0.5508,1.0,0.7103430487490328,0.4492,5000
0,AWSGLD,39.08534661156556,-25.73040689859843,-38.58398504287446,-41.663138193125,0.32827561693652146,0.24605197903539405,0.22672668392277462,0.12560196540807858,0.0835631126225245,0.5900508351488744,0.5983729386436377,4283.990805728051,0.5671308825631107,87.01020776080271,0.853,0.3807588988323302,0.6269177126917713,0.32643427741466957,0.42932187201528177,0.37308228730822873,1434,0.6209624258404747,0.3420479302832244,0.4411144930929525,0.3790375741595254,1517,0.6210329807093964,0.3623819898329702,0.45769318963540473,0.3789670192906036,1607,0.6157000585823081,0.3816267247639797,0.47119479937233805,0.38429994141769186,1707,0.6037929267042542,0.4277414669571532,0.5007438894792774,0.3962070732957458,1951
1,tMH,3.8173983641586124,1.0620382202050613,0.6413194987505777,0.42560424010953807,0.7223931652394026,0.6396713127486843,0.5941087069078426,0.3339913317276532,0.22331490298059611,0.6702819956616052,0.685815306539774,2.9218931272492186,0.6770214932441574,1.2085185449965783,0.6902,0.39232173134868914,0.8064516129032258,0.009038322487346349,0.01787629603146228,0.1935483870967742,31,0.8173913043478261,0.1019522776572668,0.18129218900675023,0.1826086956521739,345,0.743978590544157,0.30151843817787416,0.42912271674813485,0.256021409455843,1121,0.6956521739130435,0.549530007230658,0.6140173702282367,0.30434782608695654,2185,0.5864988558352403,0.9266088214027477,0.718329596412556,0.41350114416475975,4370
1,SGLD,1.0500931887423635,1.0270422517268354,0.9050381050060301,0.905299325730531,0.7362993052373283,0.7119455974051621,0.7119970406735159,0.7193643191745728,0.4793528305661132,0.7935647143890094,0.8220896484834539,3.3161883197028446,0.8628652631292759,0.07993450769288886,0.0114,0.8330157943634412,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,0.5532,1.0,0.7123358228174093,0.4468,5000
1,qSGLD,41.32263719130219,-29.255521829603254,-33.33984154234782,-44.73050268437231,0.3029896422910417,0.2703231328945597,0.20663621999791712,0.10757853723114148,0.07182332466493299,0.5882140274765003,0.5948216551016885,4431.601748797653,0.5588280702299504,86.74168551897957,0.847,0.3833735452274472,0.6162706983441325,0.309472161966739,0.4120336943441637,0.38372930165586755,1389,0.6160653505786249,0.3271872740419378,0.42739079102715466,0.38393464942137506,1469,0.615681233933162,0.34634851771511205,0.44331328088847755,0.38431876606683807,1556,0.6152450090744102,0.3676789587852495,0.4602851323828921,0.38475499092558985,1653,0.6040232927474855,0.41250903832248736,0.49022556390977445,0.39597670725251455,1889
1,cycSGLD,98.08570588289021,1.7393959741605438,0.9871833639187796,0.3815030697814184,0.5312571290872685,0.5231905739770276,0.5140136218177577,0.02693780037351201,0.017904700940188038,0.5603759942154736,0.5565420543853913,423.4413715372404,0.5141538349998802,31.44804394666643,0.8812,0.383533477236075,0.5614678899082569,0.5531453362255966,0.5572755417956656,0.43853211009174314,2725,0.5601102307957285,0.5878524945770065,0.57364614570471,0.4398897692042714,2903,0.5618707372523547,0.6254519161243673,0.5919589392643285,0.43812926274764535,3079,0.5618698441796517,0.6648590021691974,0.6090412319920516,0.4381301558203483,3273,0.5620320855614973,0.759942154736081,0.6461727636028282,0.4379679144385027,3740
