#truth,53,n,100,mu,1.0,alpha,0.4,zeta,1.0
seed,method,rmed,rq95,rmax,ess,thS,thW,thN,piS,piW,piN,lowU,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
0,SGLD,5.039267210308954,9.55262204160235,10.862890354408549,4.427842726805997,0.03951477566245445,-0.12290822420255534,-0.0019764063911746825,0.5068874976249256,0.4719377508135268,0.5003219535913928,152.40465681967737,0.13484548454845482,0.08525252525252526,0.5306122448979592,0.5179292070359155,1.2942910054838959,0.5378151260504201,1.1612267222573114,0.81,0.34617226815856955,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.5,0.02040816326530612,0.039215686274509796,0.5,2,0.5714285714285714,0.08163265306122448,0.14285714285714285,0.42857142857142855,7,0.5161290322580645,0.32653061224489793,0.4,0.4838709677419355,31
0,qSGLD,1.6862810473954626,2.8972353306908225,3.9505578361518046,6.047513603796428,1.7654424910732693,0.041374970277519185,-0.4267538842494343,0.823680309176216,0.5125075200556585,0.4042032824297435,151.75837148504087,0.7028142814281427,0.4977777777777779,0.7959183673469388,0.8483847922512286,1.0834251742993617,0.8527410964385753,1.692372527975652,0.99,0.5007865804041177,1.0,0.08163265306122448,0.15094339622641506,0.0,4,1.0,0.42857142857142855,0.6,0.0,21,0.8529411764705882,0.5918367346938775,0.6987951807228915,0.14705882352941177,34,0.8043478260869565,0.7551020408163265,0.7789473684210526,0.1956521739130435,46,0.6285714285714286,0.8979591836734694,0.7394957983193275,0.37142857142857144,70
0,cycSGLD,1.0066547918449813,1.0157717692729986,1.0217132440820116,292.3455414247409,1.0158098750051554,0.9296698668463408,1.0417123847179781,0.7325099772608777,0.714631350944309,0.7357280958403034,55.08665810804497,-0.037623762376237616,-0.015353535353535357,0.42857142857142855,0.3705498703759999,2.1229054889857175,0.4477791116446579,0.05483051284853127,0.09,0.98,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.14285714285714285,0.04081632653061224,0.06349206349206349,0.8571428571428571,14,0.49,1.0,0.6577181208053691,0.51,100
0,SGHMC,2.5308997902870045,4.575203767038571,5.454546274861199,4.654327787002851,0.4717743029558221,-0.21634996152029956,-0.13283740772917813,0.6017267949235188,0.4516693129804184,0.46825230582264604,130.34883758134043,0.35227122712271225,0.23797979797979804,0.5510204081632653,0.6254026164987795,0.9640403608200766,0.6522609043617448,1.2429124542576562,0.91,0.3743331359528543,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,0.75,0.061224489795918366,0.11320754716981131,0.25,4,0.8333333333333334,0.20408163265306123,0.3278688524590165,0.16666666666666666,12,0.6857142857142857,0.4897959183673469,0.5714285714285715,0.3142857142857143,35
0,AWSGLD,1.4973362746267445,2.3577273951699644,3.077672814902913,7.186138214272662,1.7332537109852582,0.2384540626838292,-0.23271779256063982,0.8327958326952611,0.5558720432931141,0.44544648799030656,146.79353113511866,0.7294929492949295,0.5244444444444446,0.7755102040816326,0.8362221409962309,0.9094204112268497,0.860344137655062,1.736679261468194,0.99,0.5364124588321145,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.32653061224489793,0.4923076923076923,0.0,16,0.9090909090909091,0.6122448979591837,0.7317073170731708,0.09090909090909091,33,0.7872340425531915,0.7551020408163265,0.7708333333333333,0.2127659574468085,47,0.5945945945945946,0.8979591836734694,0.7154471544715447,0.40540540540540543,74
0,acMH,1.1504753679806499,1.3008191719405877,1.407030639479571,12.227352573732087,1.4144813359260484,0.11307636324267707,-0.2380492311877914,0.795045781320779,0.5253102926429618,0.4416748130053438,99.61942423257776,0.7398739873987398,0.5511111111111111,0.7551020408163265,0.8215142404277869,0.6366646350613879,0.849939975990396,1.5851584378206236,0.99,0.6814165501373558,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.02040816326530612,0.039999999999999994,0.0,1,1.0,0.3673469387755102,0.5373134328358209,0.0,18,0.9166666666666666,0.673469387755102,0.7764705882352941,0.08333333333333333,36,0.6666666666666666,0.8571428571428571,0.75,0.3333333333333333,63
1,SGLD,5.8187254152750505,10.645001743634573,17.331036368638276,4.725284409734484,0.333661123828788,0.152389645910572,0.02945636781849768,0.575113247843834,0.5374999620654172,0.5091331410507755,176.06934435160494,0.0854125412541254,0.06424242424242425,0.5192307692307693,0.5866742756542382,1.3499492147289343,0.5256410256410255,1.3129197765575622,0.86,0.3558800319226499,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.07692307692307693,0.14285714285714288,0.0,4,0.7777777777777778,0.1346153846153846,0.22950819672131148,0.2222222222222222,9,0.5121951219512195,0.40384615384615385,0.45161290322580644,0.4878048780487805,41
1,qSGLD,1.7153776041932924,2.7088182307329456,3.222348913148971,6.525233863474129,1.1175099483262896,0.8966968904188674,-0.7096604985964529,0.7191888446519465,0.6913402283416055,0.35392150499502,169.00357312253857,0.5198799879987998,0.37050505050505056,0.6730769230769231,0.7224462746541794,1.3142800894503281,0.7676282051282052,1.5553778309985904,0.93,0.48340770644001796,1.0,0.019230769230769232,0.03773584905660378,0.0,1,0.8333333333333334,0.19230769230769232,0.3125,0.16666666666666666,12,0.8275862068965517,0.46153846153846156,0.5925925925925927,0.1724137931034483,29,0.7083333333333334,0.6538461538461539,0.68,0.2916666666666667,48,0.64,0.9230769230769231,0.7559055118110237,0.36,75
1,cycSGLD,1.004672977910333,1.0148780980996097,1.020231675655592,235.2622374362542,1.0425681428778195,0.9646164782186898,0.978727038128006,0.7378660141037633,0.7221624039792389,0.7250650007375956,64.46974421826677,0.20819681968196815,0.13535353535353536,0.6346153846153846,0.6638554258828777,1.7857993625032753,0.6490384615384615,0.05192999098187345,0.1,1.0,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.019230769230769232,0.03773584905660378,0.0,1,0.75,0.057692307692307696,0.10714285714285714,0.25,4,0.52,1.0,0.6842105263157895,0.48,100
1,SGHMC,2.895685754070144,4.989428431692426,6.795209120044862,5.2926494784424705,0.6635929662204171,0.36737934348776885,-0.19993825836260634,0.6428456413274339,0.5816024102404982,0.45641409349943435,147.9150716131995,0.3401260126012601,0.2517171717171718,0.6538461538461539,0.7006290292628736,1.099338971455572,0.6875000000000001,1.347550078832069,0.92,0.40062376555527246,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.019230769230769232,0.03773584905660378,0.0,1,0.8,0.15384615384615385,0.25806451612903225,0.2,10,0.7272727272727273,0.3076923076923077,0.43243243243243246,0.2727272727272727,22,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.37037037037037035,54
1,AWSGLD,1.482990310389456,2.1257864899164796,2.5251700441671003,7.968389895786445,1.0016485084824152,0.5974670924227554,-0.8473290887939563,0.7089044037843021,0.6326455527116988,0.3297141570891925,163.37014984624625,0.5732973297329732,0.41252525252525263,0.6730769230769231,0.7258874700413888,0.9777614905020792,0.7860576923076924,1.665019938229201,0.95,0.5531466679842448,1.0,0.019230769230769232,0.03773584905660378,0.0,1,1.0,0.057692307692307696,0.1090909090909091,0.0,3,0.8125,0.25,0.38235294117647056,0.1875,16,0.7714285714285715,0.5192307692307693,0.6206896551724139,0.22857142857142856,35,0.6818181818181818,0.8653846153846154,0.7627118644067796,0.3181818181818182,66
1,acMH,1.1206524026864213,1.2210926173070595,1.2916503778782467,13.111384352114236,2.1400777380569718,1.406624985825413,0.7473124654448643,0.8837606474512009,0.7926617123011858,0.672176538159275,117.05773775811912,0.7113231323132313,0.50989898989899,0.8076923076923077,0.8551547082630759,2.518894094795608,0.8433493589743589,1.5977459880719402,0.92,0.7063100247950446,1.0,0.038461538461538464,0.07407407407407407,0.0,2,0.875,0.6730769230769231,0.7608695652173914,0.125,40,0.6428571428571429,0.8653846153846154,0.7377049180327869,0.35714285714285715,70,0.5368421052631579,0.9807692307692307,0.6938775510204082,0.4631578947368421,95,0.52,1.0,0.6842105263157895,0.48,100
2,SGLD,5.880629007505669,10.28615007374282,12.295832074947493,4.264509923182233,-0.04595758613070682,0.27511451408106136,0.04041325904110587,0.4910433097201766,0.5583627261458263,0.5078367710887434,166.08317119666023,-0.053969396939693964,-0.03797979797979799,0.5862068965517241,0.5925775185177546,1.511699016184793,0.49220032840722494,1.2090240351172912,0.79,0.4106149515420747,1.0,0.017241379310344827,0.03389830508474576,0.0,1,1.0,0.017241379310344827,0.03389830508474576,0.0,1,0.5,0.034482758620689655,0.06451612903225806,0.5,4,0.6666666666666666,0.13793103448275862,0.2285714285714286,0.3333333333333333,12,0.5384615384615384,0.3620689655172414,0.4329896907216495,0.46153846153846156,39
