metric,acMH,AWSGLD,SGLD,qSGLD,cycSGLD,SGHMC,acMH_sd,AWSGLD_sd,SGLD_sd,qSGLD_sd,cycSGLD_sd,SGHMC_sd
basins,1.0000,3.6000,1.0000,1.0000,1.0000,1.0000,0.0000,1.2000,0.0000,0.0000,0.0000,0.0000
escape,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spear,-0.1034,0.3558,0.1152,0.2229,0.3148,0.2158,0.0146,0.0547,0.0556,0.0932,0.0738,0.0633
auc,0.4679,0.7013,0.5545,0.6247,0.6761,0.6157,0.0290,0.0413,0.0169,0.0416,0.0453,0.0369
ndcg,0.3396,0.7070,0.4985,0.5848,0.5332,0.5655,0.1011,0.1549,0.1558,0.1245,0.0795,0.1969
mse,6.0409,5.2714,6.2539,6.0059,5.2876,6.0315,0.2075,0.4738,0.8823,0.5037,0.4142,0.8148
sig,0.0000,1.8605,0.6926,1.0666,0.3808,0.9696,0.0000,0.0584,0.0326,0.0311,0.0064,0.0334
cov90,0.0000,0.7303,0.3124,0.4591,0.2118,0.4121,0.0000,0.0148,0.0434,0.0334,0.0460,0.0388
jaccard,0.0909,0.0560,0.0532,0.0681,0.0456,0.0645,0.0660,0.0257,0.0253,0.0389,0.0357,0.0264
P0.05,0.0000,0.0000,0.2286,0.0000,0.0000,0.0667,0.0000,0.0000,0.3897,0.0000,0.0000,0.1333
R0.05,0.0000,0.0000,0.0040,0.0000,0.0000,0.0022,0.0000,0.0000,0.0050,0.0000,0.0000,0.0043
F0.05,0.0000,0.0000,0.0077,0.0000,0.0000,0.0042,0.0000,0.0000,0.0095,0.0000,0.0000,0.0083
rFDR0.05,1.0000,1.0000,0.7714,1.0000,1.0000,0.9333,0.0000,0.0000,0.3897,0.0000,0.0000,0.1333
P0.1,0.0000,0.0000,0.2367,0.0000,0.2000,0.2286,0.0000,0.0000,0.2841,0.0000,0.4000,0.3897
R0.1,0.0000,0.0000,0.0098,0.0000,0.0020,0.0061,0.0000,0.0000,0.0103,0.0000,0.0039,0.0079
F0.1,0.0000,0.0000,0.0187,0.0000,0.0039,0.0117,0.0000,0.0000,0.0199,0.0000,0.0078,0.0155
rFDR0.1,1.0000,1.0000,0.7633,1.0000,0.8000,0.7714,0.0000,0.0000,0.2841,0.0000,0.4000,0.3897
P0.15,0.0500,0.0000,0.2462,0.3500,0.1500,0.3200,0.1000,0.0000,0.2473,0.4359,0.3000,0.3569
R0.15,0.0020,0.0000,0.0218,0.0078,0.0059,0.0195,0.0040,0.0000,0.0213,0.0114,0.0118,0.0202
F0.15,0.0038,0.0000,0.0397,0.0151,0.0113,0.0367,0.0077,0.0000,0.0390,0.0220,0.0226,0.0383
rFDR0.15,0.9500,1.0000,0.7538,0.6500,0.8500,0.6800,0.1000,0.0000,0.2473,0.4359,0.3000,0.3569
P0.2,0.2909,0.0000,0.3785,0.3029,0.1429,0.3288,0.2604,0.0000,0.2678,0.3719,0.2857,0.3402
R0.2,0.0196,0.0000,0.0357,0.0174,0.0098,0.0312,0.0188,0.0000,0.0301,0.0215,0.0196,0.0309
F0.2,0.0361,0.0000,0.0637,0.0328,0.0183,0.0568,0.0340,0.0000,0.0528,0.0406,0.0367,0.0564
rFDR0.2,0.7091,1.0000,0.6215,0.6971,0.8571,0.6712,0.2604,0.0000,0.2678,0.3719,0.2857,0.3402
P0.3,0.3476,0.0000,0.3455,0.3525,0.1909,0.5504,0.1048,0.0000,0.2025,0.2950,0.2343,0.2671
R0.3,0.0658,0.0000,0.0673,0.0327,0.0136,0.0616,0.0337,0.0000,0.0392,0.0365,0.0192,0.0344
F0.3,0.1089,0.0000,0.1121,0.0584,0.0250,0.1076,0.0509,0.0000,0.0648,0.0644,0.0347,0.0562
rFDR0.3,0.6524,1.0000,0.6545,0.6475,0.8091,0.4496,0.1048,0.0000,0.2025,0.2950,0.2343,0.2671
