metric,acMH,AWSGLD,SGLD,qSGLD,cycSGLD,SGHMC,acMH_sd,AWSGLD_sd,SGLD_sd,qSGLD_sd,cycSGLD_sd,SGHMC_sd
basins,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
escape,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minU,70.9292,106.5409,74.5206,74.5062,65.5268,70.9292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
optgap,7.5454,43.1571,11.1367,11.1223,2.1429,7.5454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
optdist,27.5901,10.2199,27.5530,27.8648,22.7946,27.5901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spear,-0.1269,0.4699,0.0115,0.1308,0.3373,0.1606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
auc,0.4365,0.7407,0.5312,0.5915,0.6955,0.6150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ndcg,0.2801,0.8780,0.1437,0.5244,0.6693,0.3070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mse,5.5278,3.2998,4.7296,4.3361,3.9210,4.1269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
sig,0.0000,1.2461,0.6219,0.7703,0.3416,0.7592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cov90,0.0000,0.7150,0.3400,0.4450,0.2600,0.4350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
jaccard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P0.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R0.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
F0.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rFDR0.05,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
F0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rFDR0.1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P0.15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R0.15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
F0.15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rFDR0.15,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P0.2,0.1667,0.0000,0.2692,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R0.2,0.0208,0.0000,0.0729,0.0000,0.0000,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
F0.2,0.0370,0.0000,0.1148,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rFDR0.2,0.8333,1.0000,0.7308,1.0000,1.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P0.3,0.4194,0.8000,0.4375,0.6250,0.8000,0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R0.3,0.2708,0.0417,0.2917,0.0521,0.0417,0.2604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
F0.3,0.3291,0.0792,0.3500,0.0962,0.0792,0.3205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rFDR0.3,0.5806,0.2000,0.5625,0.3750,0.2000,0.5833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
