config,Recall,F,topk,AUC
acMH,0.8814,0.7084,0.7218,0.7828
AW_eps0.3_p0.6,0.8429,0.7182,0.7217,0.7749
AW_eps0.5_p0.6,0.8444,0.718,0.7109,0.7724
AW_eps0.8_p0.6,0.8467,0.7173,0.7084,0.773
AW_eps0.5_p0.5,0.8471,0.7173,0.7152,0.7751
