ndoc,seed,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
3,1,139,62,acMH,1.0656,1.1983,1.2497,20.57,1.449,0.9649,0.7749,0.7106,89.5,0.6452,0.6452,0.685,0.6713,8000
3,1,139,62,SGLD,3.1438,5.4137,7.6912,5.95,0.3709,0.2717,0.5851,0.5645,106.38,0.4677,0.4677,0.5032,0.5492,8000
3,1,139,62,qSGLD,1.2829,1.6417,1.7568,9.21,1.0465,0.633,0.6997,0.6379,106.36,0.5484,0.5484,0.6108,0.6186,8000
3,1,139,62,cycSGLD,1.9217,3.4889,5.2856,11.84,0.6174,0.2856,0.6409,0.5691,52.0,0.6935,0.6935,0.7358,0.7501,8000
3,1,139,62,SGHMC,1.9183,3.1915,4.113,6.93,0.4737,0.3006,0.6026,0.5695,100.08,0.4677,0.4677,0.5485,0.561,8000
3,1,139,62,AWSGLD,1.0471,1.1367,1.2527,61.86,0.8735,0.4754,0.6906,0.6121,52.0,0.6935,0.6935,0.7274,0.7476,8000
