gamma,sampler,precision,recall,F,realFDR
0.05,acMH,1.0,0.0714,0.1333,0.0
0.05,AWSGLD,1.0,0.0952,0.1722,0.0
0.1,acMH,1.0,0.0714,0.1333,0.0
0.1,AWSGLD,1.0,0.0952,0.1722,0.0
0.15,acMH,1.0,0.0714,0.1333,0.0
0.15,AWSGLD,0.8889,0.0952,0.1673,0.1111
0.2,acMH,1.0,0.0714,0.1333,0.0
0.2,AWSGLD,0.8333,0.0952,0.163,0.1667
0.25,acMH,1.0,0.0714,0.1333,0.0
0.25,AWSGLD,0.8667,0.119,0.1942,0.1333
0.3,acMH,1.0,0.0714,0.1333,0.0
0.3,AWSGLD,0.746,0.1667,0.2499,0.254
