doc,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
20,30,15,acMH,1.0262,1.2462,1.2939,66.46,2.3604,0.8369,0.8524,0.6753,13.39,0.7333,0.7333,0.8091,0.8089,8000
20,30,15,SGLD,3.217,5.8337,6.1879,5.96,0.5562,0.5291,0.6284,0.6228,18.95,0.6,0.6,0.5501,0.5289,8000
20,30,15,qSGLD,1.4117,1.9057,2.0241,10.16,1.5623,0.9544,0.7989,0.7081,20.21,0.6667,0.6667,0.7298,0.7289,8000
20,30,15,cycSGLD,2.418,3.4598,4.9297,11.79,0.6222,0.3028,0.6479,0.5745,11.0,0.6667,0.6667,0.7643,0.7956,8000
20,30,15,SGHMC,2.0711,3.8807,4.6008,6.68,0.8516,0.6804,0.6884,0.6577,17.18,0.6,0.6,0.6596,0.5867,8000
20,30,15,AWSGLD,1.0813,1.1188,1.1885,58.33,1.0391,0.6011,0.7292,0.6436,11.0,0.6667,0.6667,0.7602,0.7911,8000
