doc,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
34,34,13,acMH,1.0221,1.1487,1.2238,67.97,1.9727,1.3076,0.8399,0.7589,17.12,0.5385,0.5385,0.6191,0.6886,8000
34,34,13,SGLD,3.1585,5.207,6.1526,6.32,0.7656,0.4255,0.6794,0.5982,20.27,0.5385,0.5385,0.4689,0.6923,8000
34,34,13,qSGLD,1.3995,1.6608,1.7759,7.53,2.1139,0.9121,0.8545,0.6838,22.78,0.7692,0.7692,0.7006,0.8388,8000
34,34,13,cycSGLD,2.1283,4.1269,4.378,12.33,0.7972,0.5197,0.6826,0.6241,12.0,0.5385,0.5385,0.6105,0.7179,8000
34,34,13,SGHMC,2.0502,3.1302,3.7428,7.02,1.0604,0.4689,0.73,0.6068,19.89,0.6154,0.6154,0.6569,0.7436,8000
34,34,13,AWSGLD,1.0499,1.14,1.1469,63.53,1.1216,0.7828,0.7376,0.6785,12.0,0.5385,0.5385,0.5945,0.674,8000
