ndoc,seed,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
10,5,538,242,acMH,1.2398,1.6026,2.2706,8.82,1.2899,0.6837,0.7406,0.6529,464.68,0.6198,0.6198,0.661,0.7142,8000
10,5,538,242,SGLD,2.9266,5.4355,8.1078,5.96,0.3388,0.1706,0.5787,0.5397,441.53,0.5455,0.5455,0.5495,0.593,8000
10,5,538,242,qSGLD,1.2856,1.7391,2.4561,9.62,1.4629,0.7345,0.7528,0.6547,589.42,0.6405,0.6405,0.6735,0.694,8000
10,5,538,242,cycSGLD,1.4372,2.8122,6.3842,14.86,0.5489,0.2021,0.6229,0.5493,226.0,0.657,0.657,0.7039,0.7526,8000
10,5,538,242,SGHMC,1.7295,2.8176,4.7713,7.01,0.4037,0.1462,0.59,0.5337,423.28,0.5413,0.5413,0.5676,0.6201,8000
10,5,538,242,AWSGLD,1.1606,1.4771,1.9841,48.08,0.9446,0.4652,0.6926,0.6096,226.0,0.6736,0.6736,0.7091,0.7476,8000
