doc,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
35,45,17,acMH,1.0242,1.087,1.1118,49.77,1.3965,0.7289,0.7689,0.6714,14.49,0.7647,0.7647,0.8199,0.792,8000
35,45,17,SGLD,3.589,6.6797,7.4159,6.17,0.4035,0.3497,0.5932,0.581,31.22,0.4118,0.4118,0.3552,0.5021,8000
35,45,17,qSGLD,1.2888,1.4704,1.7249,9.44,1.2137,0.7703,0.7107,0.6678,31.84,0.4706,0.4706,0.587,0.5483,8000
35,45,17,cycSGLD,2.081,3.3854,4.9664,11.86,0.6079,0.2875,0.6364,0.5709,13.0,0.4706,0.4706,0.6111,0.6639,8000
35,45,17,SGHMC,1.9471,3.7542,5.086,7.04,0.5478,0.29,0.621,0.5666,24.54,0.5294,0.5294,0.5754,0.6176,8000
35,45,17,AWSGLD,1.1244,1.3456,1.3668,68.04,1.1651,0.609,0.7424,0.6462,13.0,0.7059,0.7059,0.7859,0.8025,8000
