doc,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
33,32,16,acMH,1.0373,1.1979,1.2917,63.81,1.1676,0.4244,0.742,0.6034,12.45,0.75,0.75,0.8307,0.8828,8000
33,32,16,SGLD,2.9718,6.0734,6.2907,6.08,0.6986,0.2737,0.6595,0.5661,22.82,0.6875,0.6875,0.7722,0.7539,8000
33,32,16,qSGLD,1.3243,1.6443,1.7366,9.31,2.2595,0.9338,0.8693,0.7088,19.19,0.8125,0.8125,0.8603,0.9062,8000
33,32,16,cycSGLD,2.2489,3.8316,5.7907,11.77,0.5362,0.1082,0.6226,0.5269,11.0,0.625,0.625,0.7362,0.7773,8000
33,32,16,SGHMC,1.8349,3.5155,4.5214,6.89,0.9943,0.1495,0.7169,0.5358,19.07,0.8125,0.8125,0.8633,0.8789,8000
33,32,16,AWSGLD,1.0793,1.1412,1.1574,52.81,0.7197,0.1644,0.6594,0.5405,11.0,0.75,0.75,0.8205,0.8398,8000
