ndoc,seed,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
3,9,135,65,acMH,1.0661,1.1953,1.3429,20.96,1.3513,0.5542,0.7461,0.6295,79.69,0.6615,0.6615,0.7374,0.7358,8000
3,9,135,65,SGLD,2.9841,5.6596,7.739,6.08,0.3528,0.1835,0.5798,0.5436,97.54,0.5077,0.5077,0.5789,0.5826,8000
3,9,135,65,qSGLD,1.2042,1.5128,1.6538,9.61,1.1053,0.4196,0.7068,0.5979,97.97,0.5538,0.5538,0.6559,0.6813,8000
3,9,135,65,cycSGLD,1.6396,3.299,5.6795,14.28,0.5228,0.1198,0.6161,0.5292,50.0,0.5846,0.5846,0.6781,0.7114,8000
3,9,135,65,SGHMC,1.8218,2.9889,4.4424,6.98,0.5143,0.1219,0.6093,0.5289,97.71,0.5538,0.5538,0.6345,0.6444,8000
3,9,135,65,AWSGLD,1.0446,1.1194,1.2648,63.68,0.8148,0.2873,0.6725,0.5698,50.0,0.6308,0.6308,0.716,0.7464,8000
