ndoc,seed,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
10,3,508,221,acMH,1.241,1.6069,2.1004,9.16,1.4314,0.7261,0.7509,0.6561,438.63,0.6018,0.6018,0.644,0.6959,8000
10,3,508,221,SGLD,2.9491,5.3796,8.0685,6.0,0.3281,0.2369,0.577,0.5551,412.34,0.4751,0.4751,0.4665,0.551,8000
10,3,508,221,qSGLD,1.2483,1.6018,1.995,9.08,1.5921,0.797,0.7715,0.6659,512.18,0.6335,0.6335,0.6621,0.7164,8000
10,3,508,221,cycSGLD,1.4438,2.693,5.47,14.69,0.5361,0.1843,0.62,0.5447,210.0,0.6335,0.6335,0.6844,0.7412,8000
10,3,508,221,SGHMC,1.783,3.0403,4.6861,6.88,0.4383,0.1972,0.5992,0.5436,413.5,0.5566,0.5566,0.5614,0.6313,8000
10,3,508,221,AWSGLD,1.1379,1.3761,1.594,48.0,1.0697,0.5378,0.7098,0.6227,210.0,0.6561,0.6561,0.6851,0.7461,8000
