topk,sampler,precision,recall,F
5,acMH,0.0,0.0,0.0
5,AWSGLD,0.6,0.2143,0.3158
8,acMH,0.25,0.1429,0.1818
8,AWSGLD,0.5,0.2857,0.3636
10,acMH,0.4,0.2857,0.3333
10,AWSGLD,0.5333,0.381,0.4444
12,acMH,0.5,0.4286,0.4615
12,AWSGLD,0.5833,0.5,0.5385
14,acMH,0.5714,0.5714,0.5714
14,AWSGLD,0.5476,0.5476,0.5476
16,acMH,0.5625,0.6429,0.6
16,AWSGLD,0.5,0.5714,0.5333
20,acMH,0.4833,0.6905,0.5686
20,AWSGLD,0.45,0.6429,0.5294
