gamma,sampler,precision,recall,F,realFDR
0.05,acMH,0.0,0.0,0.0,1.0
0.05,AWSGLD,0.6875,0.3333,0.3898,0.3125
0.1,acMH,0.0,0.0,0.0,1.0
0.1,AWSGLD,0.4861,0.4762,0.439,0.5139
0.15,acMH,0.0,0.0,0.0,1.0
0.15,AWSGLD,0.4125,0.5476,0.4343,0.5875
0.2,acMH,0.0,0.0,0.0,1.0
0.2,AWSGLD,0.3544,0.5714,0.411,0.6456
0.25,acMH,0.0,0.0,0.0,1.0
0.25,AWSGLD,0.3848,0.6667,0.4592,0.6152
0.3,acMH,0.0,0.0,0.0,1.0
0.3,AWSGLD,0.4183,0.7857,0.5193,0.5817
