gamma,sampler,precision,recall,F,realFDR
0.05,acMH,1.0,0.0714,0.1333,0.0
0.05,AWSGLD,0.3333,0.0238,0.0444,0.6667
0.1,acMH,1.0,0.0714,0.1333,0.0
0.1,AWSGLD,0.5417,0.1429,0.196,0.4583
0.15,acMH,1.0,0.0714,0.1333,0.0
0.15,AWSGLD,0.5556,0.2857,0.3533,0.4444
0.2,acMH,1.0,0.0714,0.1333,0.0
0.2,AWSGLD,0.5185,0.4048,0.4215,0.4815
0.25,acMH,1.0,0.0714,0.1333,0.0
0.25,AWSGLD,0.4,0.4762,0.4123,0.6
0.3,acMH,1.0,0.0714,0.1333,0.0
0.3,AWSGLD,0.3556,0.5238,0.4036,0.6444
