ndoc,seed,n,n_truth,method,rhat_median,rhat_q95,rhat_max,ess,th_kw,th_nonkw,pi_kw,pi_nonkw,lowest_U,P_at_k,R_at_k,ndcg_at_k,auc,T_stop
3,7,201,96,acMH,1.097,1.2615,1.441,16.11,1.2714,0.7082,0.7513,0.6621,119.72,0.6667,0.6667,0.7142,0.7581,8000
3,7,201,96,SGLD,2.806,5.4293,6.6561,5.97,0.4476,0.2461,0.6046,0.5586,141.02,0.5521,0.5521,0.5989,0.5988,8000
3,7,201,96,qSGLD,1.2446,1.566,1.7543,9.09,1.6747,0.8603,0.8036,0.685,172.8,0.6875,0.6875,0.7289,0.7688,8000
3,7,201,96,cycSGLD,2.0057,4.0247,6.8027,13.72,0.5606,0.1966,0.6292,0.548,76.0,0.7083,0.7083,0.7582,0.7761,8000
3,7,201,96,SGHMC,1.7723,3.1907,4.9323,6.85,0.639,0.2579,0.6429,0.561,143.91,0.6042,0.6042,0.6644,0.6791,8000
3,7,201,96,AWSGLD,1.0533,1.1308,1.2239,59.61,0.839,0.3752,0.6825,0.5897,76.0,0.7188,0.7188,0.7576,0.776,8000
