n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
10000,1,SGLD,4.1315,6.2691,10.5851,7.79,0.768,0.6962,0.5027,0.6741,0.6594,0.6167,12154.21,0.2124,0.1427,0.5112,0.6563,3.3652,12000
10000,1,qSGLD,1.227,1.5157,2.0276,10.63,2.7685,2.4327,-0.2077,0.9327,0.9104,0.4501,13526.91,0.7513,0.5245,0.995,0.858,1.7846,12000
10000,1,cycSGLD,1.9839,2.3744,2.733,17.38,1.8237,1.5364,0.0155,0.8574,0.8195,0.5035,9624.0,0.7582,0.5372,1.0,0.8681,1.6798,12000
10000,1,SGHMC,2.0166,2.9378,4.3788,8.73,1.4092,1.202,0.4659,0.7925,0.7591,0.6093,12635.24,0.6032,0.413,0.774,0.8231,2.8665,12000
10000,1,AWSGLD,1.2174,1.5456,2.203,17.72,2.1006,1.8307,-0.0655,0.8856,0.8568,0.4836,9624.0,0.7555,0.531,0.999,0.8631,1.5907,12000
