n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
1500,3,SGLD,4.1511,6.3635,13.348,7.78,0.7454,0.6546,0.5277,0.6689,0.651,0.6226,1786.09,0.1546,0.1036,0.4917,0.6353,3.4093,12000
1500,3,qSGLD,1.2124,1.4691,1.9085,10.98,2.7591,2.5174,-0.2212,0.9333,0.9177,0.4466,1959.9,0.7369,0.507,0.9983,0.8149,1.7488,12000
1500,3,cycSGLD,2.0893,2.4999,2.7318,16.93,1.799,1.5922,0.0215,0.8545,0.8277,0.5051,1230.0,0.752,0.5269,1.0,0.8456,1.6675,12000
1500,3,SGHMC,2.0616,2.9508,4.3648,8.76,1.3681,1.1592,0.5007,0.7868,0.7523,0.6178,1827.72,0.5765,0.3905,0.7733,0.8319,2.9065,12000
1500,3,AWSGLD,1.2545,1.6078,2.1038,43.43,1.965,1.7221,-0.2262,0.8733,0.8448,0.4441,1230.0,0.7516,0.5274,1.0,0.8591,1.2559,12000
