n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
10000,3,SGLD,4.1089,6.2389,13.4209,7.81,0.7417,0.6918,0.5143,0.6688,0.6584,0.6192,12134.28,0.1806,0.1205,0.4961,0.6113,3.3929,12000
10000,3,qSGLD,1.2144,1.4793,1.986,10.82,2.7027,2.3919,-0.1385,0.9298,0.908,0.4662,13615.62,0.7447,0.5169,0.9945,0.8502,1.8328,12000
10000,3,cycSGLD,1.9915,2.3938,2.8467,17.62,1.7811,1.5618,0.0466,0.8523,0.8232,0.5112,9686.0,0.7522,0.5279,0.9997,0.8754,1.7385,12000
10000,3,SGHMC,1.987,2.9221,4.5949,8.77,1.3437,1.2078,0.5024,0.7836,0.7609,0.6181,12277.9,0.5845,0.396,0.7662,0.8252,2.9459,12000
10000,3,AWSGLD,1.2834,1.6855,3.0242,19.28,2.0147,1.7658,-0.089,0.8779,0.8495,0.4778,9686.0,0.7499,0.5247,0.9997,0.8772,1.5205,12000
