n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
200,0,SGLD,4.6262,7.2662,9.3939,6.02,0.7393,0.4804,0.4588,0.6676,0.6125,0.6078,217.1,0.2,0.1346,0.475,0.6824,3.3693,8000
200,0,qSGLD,1.2352,1.4918,1.7261,9.91,3.0498,1.764,-0.6277,0.9495,0.8468,0.3538,208.56,0.7862,0.5856,0.9875,0.956,0.9115,8000
200,0,cycSGLD,2.9792,3.6821,3.9912,10.2,1.9766,1.1837,-0.0121,0.8761,0.7631,0.4968,127.0,0.7859,0.5832,1.0,0.9537,1.565,8000
200,0,SGHMC,2.3106,3.5485,4.4988,6.92,1.4049,0.741,0.3952,0.7916,0.6727,0.5933,214.43,0.5704,0.3938,0.675,0.87,2.7529,8000
200,0,AWSGLD,1.2561,1.5678,1.8763,61.01,2.2454,1.2028,-0.4838,0.9016,0.7661,0.3824,127.0,0.7921,0.5915,1.0,0.9592,0.7965,8000
