n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
10000,0,SGLD,4.1038,6.2308,10.4339,7.79,0.7226,0.6743,0.5018,0.6652,0.6547,0.6168,12006.11,0.1811,0.121,0.4904,0.5533,3.3615,12000
10000,0,qSGLD,1.2137,1.4779,2.1149,10.86,2.7011,2.4158,-0.1916,0.93,0.9095,0.4536,13292.96,0.7495,0.5218,0.995,0.811,1.7435,12000
10000,0,cycSGLD,1.9964,2.3938,2.7866,17.68,1.782,1.5871,0.0143,0.8524,0.8266,0.5032,9684.0,0.7554,0.5302,0.9992,0.8562,1.6771,12000
10000,0,SGHMC,1.9854,2.8791,4.9655,8.79,1.3458,1.1942,0.4662,0.7845,0.7584,0.6101,12223.89,0.6102,0.4152,0.7811,0.7784,2.8406,12000
10000,0,AWSGLD,1.1952,1.424,1.8548,17.43,2.107,1.8809,-0.0661,0.8865,0.8623,0.4835,9684.0,0.7533,0.5269,0.9987,0.8339,1.5881,12000
