n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
200,4,SGLD,4.4462,6.9138,8.5574,5.93,0.8912,0.6516,0.5445,0.7014,0.6488,0.6257,244.63,0.226,0.1515,0.5125,0.595,3.3616,8000
200,4,qSGLD,1.2642,1.5626,2.0799,8.98,3.3957,2.2243,-0.1235,0.9576,0.8866,0.4702,269.65,0.7531,0.5412,0.975,0.9402,1.9885,8000
200,4,cycSGLD,2.7024,3.313,3.6855,9.57,1.8691,1.3715,0.2135,0.8618,0.795,0.5525,134.0,0.7524,0.538,1.0,0.9361,1.9553,8000
200,4,SGHMC,2.0445,3.1972,3.7516,6.68,1.538,1.0427,0.5211,0.8117,0.7265,0.6217,234.64,0.5573,0.3844,0.725,0.8716,2.9172,8000
200,4,AWSGLD,1.1393,1.3344,1.4429,60.2,2.1056,1.5533,-0.1178,0.8864,0.8222,0.4707,134.0,0.7344,0.5174,1.0,0.9351,1.3352,8000
