n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
200,1,SGLD,4.5789,7.1477,8.5908,5.96,0.7131,0.6621,0.5603,0.6652,0.6543,0.6293,238.16,0.2121,0.1406,0.5,0.5681,3.4494,8000
200,1,qSGLD,1.2413,1.5187,1.7039,9.7,3.1602,2.7544,-0.0624,0.9544,0.9348,0.4843,246.32,0.7563,0.5329,1.0,0.9087,2.2846,8000
200,1,cycSGLD,2.5617,3.0418,3.2793,8.51,1.9749,1.6407,0.1763,0.8748,0.8354,0.5434,134.0,0.7704,0.552,1.0,0.922,1.9457,8000
200,1,SGHMC,2.3337,3.4619,4.88,6.73,1.3917,1.1793,0.5637,0.7912,0.7571,0.6306,237.72,0.581,0.3967,0.75,0.8301,3.0621,8000
200,1,AWSGLD,1.1082,1.2973,1.3714,60.45,2.306,1.822,-0.1754,0.906,0.8587,0.4565,134.0,0.7753,0.5615,1.0,0.9466,1.3331,8000
