n,seed,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
200,2,SGLD,4.757,7.052,10.3243,6.13,0.6091,0.6725,0.5415,0.642,0.653,0.6256,231.8,0.1302,0.0887,0.4625,0.547,3.5164,8000
200,2,qSGLD,1.2183,1.4633,1.6837,9.82,2.719,1.7268,-0.1996,0.9341,0.8408,0.4517,236.3,0.7843,0.5787,0.9875,0.9617,1.3946,8000
200,2,cycSGLD,3.4281,4.2353,4.7385,11.76,1.7078,1.0676,0.2144,0.8447,0.7415,0.5527,131.0,0.7876,0.5822,0.9875,0.9574,1.9912,8000
200,2,SGHMC,2.3404,3.191,3.5479,7.01,1.1716,0.973,0.6316,0.7563,0.7176,0.6472,231.17,0.4719,0.3214,0.6625,0.7593,3.3111,8000
200,2,AWSGLD,1.07,1.147,1.2681,58.84,1.9293,0.9441,-0.2036,0.8712,0.7176,0.4496,131.0,0.7904,0.587,1.0,0.9623,1.1777,8000
